#   N_BLOCK:  ACCEPTANCE:
             1  1.227147e-01
             2  1.222853e-01
             3  1.236573e-01
             4  1.242327e-01
             5  1.243803e-01
             6  1.241569e-01
             7  1.244587e-01
             8  1.238048e-01
             9  1.238244e-01
            10  1.239623e-01
            11  1.236539e-01
            12  1.238056e-01
            13  1.239662e-01
            14  1.239173e-01
            15  1.239375e-01
            16  1.237979e-01
            17  1.235885e-01
            18  1.234733e-01
            19  1.237458e-01
            20  1.238329e-01
            21  1.238392e-01
            22  1.239540e-01
            23  1.240899e-01
            24  1.238771e-01
            25  1.237799e-01
            26  1.237170e-01
            27  1.236947e-01
            28  1.238086e-01
            29  1.237350e-01
            30  1.239025e-01
            31  1.239059e-01
            32  1.238294e-01
            33  1.236513e-01
            34  1.237076e-01
            35  1.236301e-01
            36  1.236840e-01
            37  1.236930e-01
            38  1.236720e-01
            39  1.237143e-01
            40  1.237484e-01
            41  1.237928e-01
            42  1.238606e-01
            43  1.239130e-01
            44  1.239661e-01
            45  1.240147e-01
            46  1.239767e-01
            47  1.239890e-01
            48  1.239800e-01
            49  1.239072e-01
            50  1.238722e-01
            51  1.238886e-01
            52  1.238336e-01
            53  1.238167e-01
            54  1.237581e-01
            55  1.238462e-01
            56  1.237951e-01
            57  1.238043e-01
            58  1.238275e-01
            59  1.238392e-01
            60  1.238488e-01
            61  1.237776e-01
            62  1.238220e-01
            63  1.238576e-01
            64  1.238902e-01
            65  1.239026e-01
            66  1.239404e-01
            67  1.239931e-01
            68  1.240094e-01
            69  1.239696e-01
            70  1.238990e-01
            71  1.239278e-01
            72  1.238971e-01
            73  1.238760e-01
            74  1.238972e-01
            75  1.238447e-01
            76  1.238542e-01
            77  1.238578e-01
            78  1.238844e-01
            79  1.238796e-01
            80  1.239062e-01
            81  1.239387e-01
            82  1.239372e-01
            83  1.239035e-01
            84  1.239163e-01
            85  1.239121e-01
            86  1.238664e-01
            87  1.238360e-01
            88  1.238239e-01
            89  1.238130e-01
            90  1.238123e-01
            91  1.238275e-01
            92  1.238281e-01
            93  1.238592e-01
            94  1.238212e-01
            95  1.237886e-01
            96  1.237697e-01
            97  1.237568e-01
            98  1.237280e-01
            99  1.237240e-01
           100  1.237335e-01
