#   N_BLOCK:  ACCEPTANCE:
             1  3.152440e-01
             2  3.148340e-01
             3  3.164311e-01
             4  3.162930e-01
             5  3.160520e-01
             6  3.160033e-01
             7  3.162994e-01
             8  3.161677e-01
             9  3.160025e-01
            10  3.160789e-01
            11  3.162548e-01
            12  3.162209e-01
            13  3.160645e-01
            14  3.158623e-01
            15  3.158804e-01
            16  3.159285e-01
            17  3.158837e-01
            18  3.160470e-01
            19  3.159757e-01
            20  3.159489e-01
            21  3.160590e-01
            22  3.160225e-01
            23  3.159145e-01
            24  3.158725e-01
            25  3.159034e-01
            26  3.158616e-01
            27  3.158964e-01
            28  3.157759e-01
            29  3.157634e-01
            30  3.158311e-01
            31  3.158016e-01
            32  3.157326e-01
            33  3.157350e-01
            34  3.156597e-01
            35  3.155659e-01
            36  3.156128e-01
            37  3.155924e-01
            38  3.156126e-01
            39  3.156320e-01
            40  3.156683e-01
            41  3.156374e-01
            42  3.156022e-01
            43  3.156791e-01
            44  3.157024e-01
            45  3.156949e-01
            46  3.157148e-01
            47  3.157071e-01
            48  3.157095e-01
            49  3.156946e-01
            50  3.157062e-01
            51  3.157026e-01
            52  3.157009e-01
            53  3.157301e-01
            54  3.157460e-01
            55  3.157666e-01
            56  3.157530e-01
            57  3.157468e-01
            58  3.157833e-01
            59  3.158142e-01
            60  3.158066e-01
            61  3.158419e-01
            62  3.158485e-01
            63  3.158259e-01
            64  3.158517e-01
            65  3.158500e-01
            66  3.158492e-01
            67  3.158169e-01
            68  3.158457e-01
            69  3.158287e-01
            70  3.158330e-01
            71  3.158523e-01
            72  3.158698e-01
            73  3.158249e-01
            74  3.158421e-01
            75  3.158234e-01
            76  3.158249e-01
            77  3.158425e-01
            78  3.158618e-01
            79  3.158414e-01
            80  3.158453e-01
            81  3.158698e-01
            82  3.158558e-01
            83  3.158629e-01
            84  3.158786e-01
            85  3.158789e-01
            86  3.158667e-01
            87  3.158785e-01
            88  3.158777e-01
            89  3.158735e-01
            90  3.158790e-01
            91  3.158602e-01
            92  3.158543e-01
            93  3.158389e-01
            94  3.158356e-01
            95  3.158251e-01
            96  3.158408e-01
            97  3.158279e-01
            98  3.158299e-01
            99  3.158224e-01
           100  3.158309e-01
