#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
             1 -3.628582e-01 -3.628582e-01  0.000000e+00
             2 -3.754025e-01 -3.691303e-01  4.435087e-03
             3 -3.769432e-01 -3.717346e-01  3.641945e-03
             4 -3.846371e-01 -3.749602e-01  3.906964e-03
             5 -3.474772e-01 -3.694636e-01  5.825747e-03
             6 -3.564069e-01 -3.672875e-01  5.245497e-03
             7 -3.573887e-01 -3.658734e-01  4.682875e-03
             8 -3.642195e-01 -3.656667e-01  4.102076e-03
             9 -3.909893e-01 -3.684803e-01  4.509140e-03
            10 -4.169898e-01 -3.733312e-01  6.135779e-03
            11 -4.205454e-01 -3.776234e-01  6.918236e-03
            12 -4.160978e-01 -3.808296e-01  7.045597e-03
            13 -4.790204e-01 -3.883828e-01  9.744667e-03
            14 -4.803286e-01 -3.949503e-01  1.104217e-02
            15 -4.324852e-01 -3.974527e-01  1.058576e-02
            16 -3.793197e-01 -3.963193e-01  9.984631e-03
            17 -3.985253e-01 -3.964491e-01  9.398143e-03
            18 -4.021407e-01 -3.967653e-01  8.881341e-03
            19 -3.287619e-01 -3.931862e-01  9.106573e-03
            20 -3.397517e-01 -3.905145e-01  9.034668e-03
            21 -3.181354e-01 -3.870678e-01  9.238506e-03
            22 -3.774298e-01 -3.866297e-01  8.828955e-03
            23 -3.654630e-01 -3.857094e-01  8.492916e-03
            24 -4.103487e-01 -3.867361e-01  8.200860e-03
            25 -3.823973e-01 -3.865625e-01  7.874662e-03
            26 -3.884149e-01 -3.866338e-01  7.572113e-03
            27 -4.383443e-01 -3.885490e-01  7.529975e-03
            28 -4.978563e-01 -3.924528e-01  8.210873e-03
            29 -4.956820e-01 -3.960124e-01  8.665049e-03
            30 -4.445802e-01 -3.976314e-01  8.526108e-03
            31 -4.638205e-01 -3.997665e-01  8.514219e-03
            32 -4.429203e-01 -4.011151e-01  8.354265e-03
            33 -3.951691e-01 -4.009349e-01  8.103048e-03
            34 -3.813129e-01 -4.003578e-01  7.885248e-03
            35 -4.241944e-01 -4.010388e-01  7.689310e-03
            36 -4.352503e-01 -4.019891e-01  7.534214e-03
            37 -4.426614e-01 -4.030884e-01  7.410344e-03
            38 -4.021461e-01 -4.030636e-01  7.215377e-03
            39 -4.025070e-01 -4.030493e-01  7.030381e-03
            40 -4.211579e-01 -4.035020e-01  6.869182e-03
            41 -4.034090e-01 -4.034998e-01  6.701642e-03
            42 -3.860351e-01 -4.030839e-01  6.554967e-03
            43 -4.110766e-01 -4.032698e-01  6.405160e-03
            44 -4.202182e-01 -4.036550e-01  6.271160e-03
            45 -4.760024e-01 -4.052627e-01  6.334533e-03
            46 -4.266682e-01 -4.057281e-01  6.213894e-03
            47 -4.117749e-01 -4.058567e-01  6.083016e-03
            48 -3.686205e-01 -4.050810e-01  6.005547e-03
            49 -3.457413e-01 -4.038699e-01  6.003844e-03
            50 -4.070037e-01 -4.039326e-01  5.884094e-03
            51 -4.190101e-01 -4.042283e-01  5.776142e-03
            52 -4.216851e-01 -4.045640e-01  5.674809e-03
            53 -3.986444e-01 -4.044523e-01  5.568836e-03
            54 -3.933011e-01 -4.042458e-01  5.469537e-03
            55 -4.404667e-01 -4.049043e-01  5.409593e-03
            56 -4.093057e-01 -4.049829e-01  5.313564e-03
            57 -4.379704e-01 -4.055617e-01  5.251765e-03
            58 -3.996891e-01 -4.054604e-01  5.162194e-03
            59 -4.058023e-01 -4.054662e-01  5.074702e-03
            60 -4.300775e-01 -4.058764e-01  5.006674e-03
            61 -4.369151e-01 -4.063852e-01  4.950386e-03
            62 -4.546385e-01 -4.071635e-01  4.931341e-03
            63 -4.336402e-01 -4.075838e-01  4.870941e-03
            64 -3.787255e-01 -4.071329e-01  4.815658e-03
            65 -4.019236e-01 -4.070527e-01  4.742237e-03
            66 -4.323548e-01 -4.074361e-01  4.685855e-03
            67 -3.980259e-01 -4.072956e-01  4.618022e-03
            68 -4.088803e-01 -4.073189e-01  4.550168e-03
            69 -4.111704e-01 -4.073747e-01  4.484566e-03
            70 -4.188097e-01 -4.075381e-01  4.423475e-03
            71 -4.584548e-01 -4.082552e-01  4.418922e-03
            72 -4.584130e-01 -4.089519e-01  4.412118e-03
            73 -3.861708e-01 -4.086398e-01  4.362700e-03
            74 -3.768541e-01 -4.082103e-01  4.324839e-03
            75 -3.766427e-01 -4.077894e-01  4.287607e-03
            76 -3.873840e-01 -4.075209e-01  4.239589e-03
            77 -4.210891e-01 -4.076971e-01  4.188190e-03
            78 -4.307029e-01 -4.079920e-01  4.144867e-03
            79 -4.465894e-01 -4.084806e-01  4.121095e-03
            80 -3.872579e-01 -4.082153e-01  4.078111e-03
            81 -3.906881e-01 -4.079989e-01  4.033501e-03
            82 -4.071332e-01 -4.079884e-01  3.984325e-03
            83 -4.080003e-01 -4.079885e-01  3.936322e-03
            84 -4.018816e-01 -4.079158e-01  3.890132e-03
            85 -3.981237e-01 -4.078006e-01  3.846071e-03
            86 -4.352683e-01 -4.081200e-01  3.814588e-03
            87 -3.903415e-01 -4.079157e-01  3.776212e-03
            88 -4.899895e-01 -4.088483e-01  3.846751e-03
            89 -4.418157e-01 -4.092187e-01  3.821322e-03
            90 -4.503943e-01 -4.096762e-01  3.806152e-03
            91 -4.420240e-01 -4.100317e-01  3.780889e-03
            92 -4.382391e-01 -4.103383e-01  3.752204e-03
            93 -3.719774e-01 -4.099258e-01  3.734461e-03
            94 -3.326786e-01 -4.091041e-01  3.784070e-03
            95 -3.361206e-01 -4.083358e-01  3.821427e-03
            96 -3.617246e-01 -4.078503e-01  3.812341e-03
            97 -4.100965e-01 -4.078734e-01  3.773108e-03
            98 -3.479977e-01 -4.072625e-01  3.783752e-03
            99 -3.961991e-01 -4.071507e-01  3.747182e-03
           100 -4.726709e-01 -4.078059e-01  3.766556e-03
