#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
             1  3.705086e-01  3.705086e-01  0.000000e+00
             2  3.614539e-01  3.659813e-01  3.201309e-03
             3  3.652058e-01  3.657228e-01  2.144618e-03
             4  3.660108e-01  3.657948e-01  1.609672e-03
             5  3.721721e-01  3.670702e-01  1.720380e-03
             6  3.744923e-01  3.683072e-01  1.824969e-03
             7  3.750194e-01  3.692661e-01  1.798613e-03
             8  3.763663e-01  3.701537e-01  1.779337e-03
             9  3.666245e-01  3.697615e-01  1.624267e-03
            10  3.584478e-01  3.686302e-01  1.813555e-03
            11  3.709672e-01  3.688426e-01  1.661085e-03
            12  3.770032e-01  3.695227e-01  1.656026e-03
            13  3.582659e-01  3.686568e-01  1.740361e-03
            14  3.733741e-01  3.689937e-01  1.648345e-03
            15  3.659947e-01  3.687938e-01  1.550533e-03
            16  3.518399e-01  3.677342e-01  1.779223e-03
            17  3.613010e-01  3.673557e-01  1.714334e-03
            18  3.847547e-01  3.683223e-01  1.871868e-03
            19  3.723816e-01  3.685360e-01  1.785499e-03
            20  3.653642e-01  3.683774e-01  1.703253e-03
            21  3.700373e-01  3.684564e-01  1.623979e-03
            22  3.640298e-01  3.682552e-01  1.562577e-03
            23  3.685109e-01  3.682664e-01  1.494679e-03
            24  3.676748e-01  3.682417e-01  1.432603e-03
            25  3.724608e-01  3.684105e-01  1.385204e-03
            26  3.693819e-01  3.684478e-01  1.332431e-03
            27  3.710775e-01  3.685452e-01  1.286636e-03
            28  3.750388e-01  3.687771e-01  1.261413e-03
            29  3.647987e-01  3.686400e-01  1.225353e-03
            30  3.780805e-01  3.689546e-01  1.224249e-03
            31  3.690034e-01  3.689562e-01  1.184758e-03
            32  3.561314e-01  3.685554e-01  1.213629e-03
            33  3.617636e-01  3.683496e-01  1.194176e-03
            34  3.686172e-01  3.683575e-01  1.159080e-03
            35  3.803680e-01  3.687007e-01  1.175664e-03
            36  3.589431e-01  3.684296e-01  1.173835e-03
            37  3.730451e-01  3.685544e-01  1.148719e-03
            38  3.599552e-01  3.683281e-01  1.140561e-03
            39  3.699711e-01  3.683702e-01  1.112093e-03
            40  3.541672e-01  3.680151e-01  1.139567e-03
            41  3.705566e-01  3.680771e-01  1.113457e-03
            42  3.698656e-01  3.681197e-01  1.087760e-03
            43  3.661568e-01  3.680740e-01  1.063421e-03
            44  3.696792e-01  3.681105e-01  1.039878e-03
            45  3.679595e-01  3.681072e-01  1.016775e-03
            46  3.561554e-01  3.678473e-01  1.027331e-03
            47  3.718833e-01  3.679332e-01  1.009056e-03
            48  3.724102e-01  3.680265e-01  9.923351e-04
            49  3.613545e-01  3.678903e-01  9.813806e-04
            50  3.749939e-01  3.680324e-01  9.719823e-04
            51  3.638127e-01  3.679497e-01  9.564389e-04
            52  3.733936e-01  3.680543e-01  9.437581e-04
            53  3.642393e-01  3.679824e-01  9.286924e-04
            54  3.688062e-01  3.679976e-01  9.116197e-04
            55  3.699596e-01  3.680333e-01  8.957425e-04
            56  3.791413e-01  3.682317e-01  9.014420e-04
            57  3.639484e-01  3.681565e-01  8.887538e-04
            58  3.680607e-01  3.681549e-01  8.734320e-04
            59  3.704654e-01  3.681940e-01  8.595055e-04
            60  3.556338e-01  3.679847e-01  8.702997e-04
            61  3.650862e-01  3.679372e-01  8.573286e-04
            62  3.681865e-01  3.679412e-01  8.435101e-04
            63  3.681690e-01  3.679448e-01  8.301288e-04
            64  3.657620e-01  3.679107e-01  8.178584e-04
            65  3.583222e-01  3.677632e-01  8.184713e-04
            66  3.778985e-01  3.679167e-01  8.203501e-04
            67  3.659490e-01  3.678874e-01  8.086316e-04
            68  3.717699e-01  3.679445e-01  7.987532e-04
            69  3.570762e-01  3.677870e-01  8.025570e-04
            70  3.686525e-01  3.677993e-01  7.911872e-04
            71  3.701732e-01  3.678328e-01  7.807498e-04
            72  3.710782e-01  3.678778e-01  7.712062e-04
            73  3.753027e-01  3.679795e-01  7.673194e-04
            74  3.641050e-01  3.679272e-01  7.587345e-04
            75  3.630280e-01  3.678619e-01  7.514247e-04
            76  3.741851e-01  3.679451e-01  7.461294e-04
            77  3.747055e-01  3.680329e-01  7.415871e-04
            78  3.628911e-01  3.679669e-01  7.350036e-04
            79  3.679871e-01  3.679672e-01  7.256998e-04
            80  3.773179e-01  3.680841e-01  7.259805e-04
            81  3.653313e-01  3.680501e-01  7.178128e-04
            82  3.683715e-01  3.680540e-01  7.090697e-04
            83  3.704220e-01  3.680825e-01  7.011004e-04
            84  3.742006e-01  3.681554e-01  6.965269e-04
            85  3.718743e-01  3.681991e-01  6.897052e-04
            86  3.645347e-01  3.681565e-01  6.830003e-04
            87  3.562811e-01  3.680200e-01  6.886545e-04
            88  3.751199e-01  3.681007e-01  6.855388e-04
            89  3.668199e-01  3.680863e-01  6.779871e-04
            90  3.647021e-01  3.680487e-01  6.714959e-04
            91  3.722436e-01  3.680948e-01  6.656972e-04
            92  3.629257e-01  3.680386e-01  6.608282e-04
            93  3.687024e-01  3.680458e-01  6.537611e-04
            94  3.650998e-01  3.680144e-01  6.475569e-04
            95  3.669243e-01  3.680029e-01  6.408422e-04
            96  3.622973e-01  3.679435e-01  6.369168e-04
            97  3.702884e-01  3.679677e-01  6.308093e-04
            98  3.718038e-01  3.680068e-01  6.255858e-04
            99  3.619256e-01  3.679454e-01  6.222752e-04
           100  3.791580e-01  3.680575e-01  6.260727e-04
