   0.1624   0.7729
   0.6789   0.7726
   0.6694   0.2399
   0.8359   0.4109
   0.9106   0.3836
   0.0788   0.3573
   0.0033   0.6326
   0.9470   0.8110
   0.5330   0.0435
   0.4534   0.0790
   0.7883   0.2049
   0.9244   0.6797
   0.1747   0.3557
   0.0324   0.1909
   0.0884   0.6452
   0.2905   0.8397
   0.7218   0.0627
   0.5677   0.5847
   0.0650   0.2063
   0.5238   0.8339
   0.5446   0.1990
   0.2133   0.7189
   0.7457   0.8339
   0.7723   0.7149
   0.0977   0.8350
   0.3417   0.5192
   0.5221   0.0361
   0.8357   0.6351
   0.2552   0.6337
   0.3798   0.6556
   0.4372   0.4870
   0.1911   0.3791
   0.8282   0.9709
   0.2116   0.6838
