   0.7175   0.6966
   0.4004  -0.9163
   0.9993   0.0379
  -0.3088  -0.9511
  -0.3234  -0.9463
   0.9314   0.3639
   0.2754   0.9613
   0.9840   0.1781
  -0.8491  -0.5282
   0.5315   0.8471
   0.4461  -0.8950
   0.5999   0.8000
   0.2548  -0.9670
   0.9972   0.0742
   0.7296   0.6839
   0.3610  -0.9326
   0.6254  -0.7803
  -0.9200   0.3919
   0.7242   0.6896
   0.3094  -0.9509
  -0.9517  -0.3070
   0.9251   0.3796
   0.7958  -0.6056
   0.7296  -0.6838
   0.9988  -0.0480
   0.2800  -0.9600
  -0.5521  -0.8338
  -0.8725  -0.4887
  -0.2638   0.9646
  -0.7236  -0.6902
  -0.6114  -0.7913
  -0.4235  -0.9059
   0.9397   0.3420
   0.8084   0.5886
