Iteration Mean StdDeviation
250 6.21574 0.0311462
251 6.24186 0.165066
252 6.28675 0.25844
253 6.27473 0.259492
254 6.43482 0.731191
255 6.31129 0.289978
256 6.21065 1.88486e-07
257 6.21065 1.88486e-07
258 6.34234 0.29263
259 6.2538 0.187699
260 6.43598 0.675225
261 6.30462 0.418641
262 6.21065 1.88486e-07
263 6.21065 1.88486e-07
264 6.21065 1.88486e-07
265 6.21065 1.88486e-07
266 6.21065 1.88486e-07
267 6.2919 0.308891
268 6.23633 0.121257
269 6.52402 0.77621
270 6.22051 0.0663662
271 6.21065 1.88486e-07
272 6.21065 1.88486e-07
273 6.25394 0.141209
274 6.26622 0.162693
275 6.34808 0.490926
276 6.21065 1.88486e-07
277 6.21065 1.88486e-07
278 6.68333 1.04242
279 6.27317 0.233508
280 6.30718 0.389935
281 6.21065 1.88486e-07
282 6.4815 0.643768
283 6.41936 0.549407
284 6.35803 0.427565
285 6.31271 0.343695
286 6.22548 0.103846
287 6.36341 0.514248
288 6.23698 0.117614
289 6.21065 1.88486e-07
290 6.31649 0.29663
291 6.29354 0.308942
292 6.21132 0.0047321
293 6.21103 0.00269657
294 6.25759 0.185918
295 6.21065 1.88486e-07
296 6.21065 1.88486e-07
297 6.21065 1.88486e-07
298 6.21065 1.88486e-07
299 6.94175 1.2399
300 6.27572 0.262214
301 6.21065 1.88486e-07
302 6.44007 0.571436
303 6.21065 1.88486e-07
304 6.33446 0.35221
305 6.21913 0.0593708
306 6.21065 1.88486e-07
307 6.21065 1.88486e-07
308 6.22866 0.123835
309 6.21577 0.035823
310 6.41006 0.485373
311 6.24704 0.127669
312 6.21797 0.0485923
313 6.21065 1.88486e-07
314 6.21065 1.88486e-07
315 6.21065 1.88486e-07
316 6.22574 0.077468
317 6.27029 0.264737
318 6.21065 1.88486e-07
319 6.28637 0.257784
320 6.21065 1.88486e-07
321 6.41435 0.587095
322 6.23059 0.096142
323 6.34452 0.415593
324 6.68501 0.86496
325 6.30388 0.292571
326 6.33455 0.410732
327 6.47587 0.580426
328 6.3564 0.556177
329 6.21065 1.88486e-07
330 6.24186 0.111597
331 6.21065 1.88486e-07
332 6.21065 1.88486e-07
333 6.21065 1.88486e-07
334 6.28124 0.268386
335 6.21588 0.0366275
336 6.28517 0.294529
337 6.60507 0.97783
338 6.21065 1.88486e-07
339 6.26648 0.232663
340 6.21065 1.88486e-07
341 6.2264 0.0804259
342 6.4366 0.594681
343 6.91118 1.25827
344 6.23916 0.124018
345 6.21065 1.88486e-07
346 6.21065 1.88486e-07
347 6.21065 1.88486e-07
348 6.21065 1.88486e-07
349 6.21065 1.88486e-07
350 6.22082 0.071231
351 6.21065 1.88486e-07
352 6.21588 0.0366275
353 6.24776 0.138253
354 6.21097 0.00221995
355 6.22912 0.0739097
356 6.21103 0.00269657
357 6.28234 0.321821
358 6.22354 0.0631953
359 6.21065 1.88486e-07
360 6.60084 0.885189
361 6.21065 1.88486e-07
362 6.35956 0.500159
363 6.21065 1.88486e-07
364 6.36432 0.414377
365 6.21065 1.88486e-07
366 6.21065 1.88486e-07
367 6.21065 1.88486e-07
368 6.21065 1.88486e-07
369 6.21065 1.88486e-07
370 6.21065 1.88486e-07
371 6.21625 0.0391893
372 6.52981 0.702053
373 6.29421 0.286644
374 6.28925 0.271657
375 6.21235 0.0119309
376 6.21065 1.88486e-07
377 6.27103 0.205221
378 6.21454 0.0272291
379 6.24882 0.147619
380 6.21065 1.88486e-07
381 6.21958 0.0583538
382 6.43493 0.674645
383 6.39811 0.451013
384 6.21065 1.88486e-07
385 6.21065 1.88486e-07
386 6.75606 1.06867
387 6.36514 0.482997
388 6.21065 1.88486e-07
389 6.21065 1.88486e-07
390 6.21065 1.88486e-07
391 6.29362 0.292914
392 6.36951 0.426253
393 6.3143 0.310625
394 6.21065 1.88486e-07
395 6.23285 0.152721
396 6.24407 0.153386
397 6.3771 0.521476
398 6.21065 1.88486e-07
399 6.24947 0.155087
400 6.25762 0.132645
401 6.37474 0.462739
402 6.48559 0.666554
403 6.39064 0.533631
404 6.49224 0.767735
405 6.40774 0.487329
406 6.33929 0.354913
407 6.21065 1.88486e-07
408 6.59535 0.782114
409 6.21065 1.88486e-07
410 6.35918 0.405629
411 6.64664 0.869737
412 6.35831 0.516572
413 6.51385 0.766706
414 6.22454 0.0746439
415 6.21065 1.88486e-07
416 6.22548 0.103846
417 6.25859 0.187464
418 6.3361 0.326029
419 6.30341 0.286733
420 6.27227 0.194161
421 6.21065 1.88486e-07
422 6.21065 1.88486e-07
423 6.21065 1.88486e-07
424 6.21929 0.0425421
425 6.22462 0.0978372
426 6.21065 1.88486e-07
427 6.21065 1.88486e-07
428 6.21065 1.88486e-07
429 6.21065 1.88486e-07
430 6.21065 1.88486e-07
431 6.21065 1.88486e-07
432 6.22609 0.0782287
433 6.27128 0.241176
434 6.21065 1.88486e-07
435 6.23978 0.115614
436 6.4074 0.508861
437 6.21065 1.88486e-07
438 6.2208 0.0497527
439 6.21065 1.88486e-07
440 6.21065 1.88486e-07
441 6.21065 1.88486e-07
442 6.21065 1.88486e-07
443 6.21065 1.88486e-07
444 6.21065 1.88486e-07
445 6.50958 0.759083
446 6.36593 0.437092
447 6.21065 1.88486e-07
448 7.14605 1.47314
449 6.89807 1.19767
450 6.22574 0.0784792
451 6.25235 0.148896
452 6.30561 0.315988
453 6.21065 1.88486e-07
454 6.34478 0.447233
455 6.21065 1.88486e-07
456 6.25378 0.180491
457 6.21065 1.88486e-07
458 6.27905 0.238348
459 6.21065 1.88486e-07
460 6.21065 1.88486e-07
461 6.21065 1.88486e-07
462 6.21578 0.0333011
463 6.28019 0.221323
464 6.22051 0.0663662
465 6.46697 0.74732
466 6.31201 0.297582
467 6.21284 0.0153117
468 6.21065 1.88486e-07
469 6.35722 0.393495
470 6.26521 0.208766
471 6.21065 1.88486e-07
472 6.21065 1.88486e-07
473 6.21065 1.88486e-07
474 6.21065 1.88486e-07
475 6.21065 1.88486e-07
476 6.22089 0.0690097
477 6.36735 0.500362
478 6.2434 0.137777
479 6.21065 1.88486e-07
480 6.36065 0.407304
481 6.27584 0.237742
482 6.31403 0.305764
483 6.21065 1.88486e-07
484 6.2334 0.117064
485 6.2748 0.29374
486 6.21065 1.88486e-07
487 6.21065 1.88486e-07
488 6.23801 0.132082
489 6.26826 0.231393
490 6.21065 1.88486e-07
491 6.21965 0.058383
492 6.21065 1.88486e-07
493 6.21065 1.88486e-07
494 6.21065 1.88486e-07
495 6.44525 0.571114
496 6.21065 1.88486e-07
497 6.21065 1.88486e-07
498 6.26774 0.199899
499 6.26734 0.209246
500 6.21103 0.00269657
501 6.39151 0.528272
502 6.21065 1.88486e-07
503 6.21065 1.88486e-07
504 6.22111 0.0732494
505 6.85512 1.23882
506 6.56163 0.805001
507 6.24645 0.132327
508 6.21065 1.88486e-07
509 6.21065 1.88486e-07
