Iteration Mean StdDeviation
244 5.45845 0.0215421
245 5.45537 3.26468e-07
246 5.45537 3.26468e-07
247 5.45537 3.26468e-07
248 5.45537 3.26468e-07
249 5.46275 0.0365115
250 5.50555 0.152636
251 5.45537 3.26468e-07
252 5.45537 3.26468e-07
253 5.45705 0.0117508
254 5.48818 0.101842
255 5.45537 3.26468e-07
256 5.45803 0.018616
257 5.48145 0.0758259
258 5.54247 0.192895
259 5.46136 0.0293493
260 5.45537 3.26468e-07
261 5.45537 3.26468e-07
262 5.54832 0.207735
263 5.56755 0.232662
264 5.49766 0.123038
265 5.45537 3.26468e-07
266 5.45537 3.26468e-07
267 5.45537 3.26468e-07
268 5.45537 3.26468e-07
269 5.48274 0.0911435
270 5.48005 0.0844042
271 5.45853 0.0221568
272 5.45537 3.26468e-07
273 5.45938 0.0280787
274 5.48605 0.0997424
275 5.48269 0.0979496
276 5.54767 0.220167
277 5.46043 0.0354216
278 5.48162 0.104943
279 5.53201 0.19117
280 5.76811 0.492175
281 5.53413 0.164177
282 5.55453 0.2153
283 5.50715 0.158896
284 5.53184 0.225018
285 5.45537 3.26468e-07
286 5.45537 3.26468e-07
287 5.51201 0.159948
288 5.46754 0.0596379
289 5.4985 0.127333
290 5.45537 3.26468e-07
291 5.47694 0.0712595
292 5.45537 3.26468e-07
293 5.45537 3.26468e-07
294 5.47095 0.053502
295 5.48102 0.0946429
296 5.46855 0.0528739
297 5.46839 0.066936
298 5.62238 0.323206
299 5.49776 0.137414
300 5.46605 0.0424111
301 5.45537 3.26468e-07
302 5.45537 3.26468e-07
303 5.45537 3.26468e-07
304 5.45537 3.26468e-07
305 5.45537 3.26468e-07
306 5.45537 3.26468e-07
307 5.45537 3.26468e-07
308 5.53527 0.185087
309 5.45537 3.26468e-07
310 5.45537 3.26468e-07
311 5.45537 3.26468e-07
312 5.49523 0.124488
313 5.45537 3.26468e-07
314 5.45537 3.26468e-07
315 5.46753 0.0502919
316 5.53262 0.190107
317 5.49453 0.114847
318 5.45537 3.26468e-07
319 5.47121 0.0667582
320 5.51235 0.139497
321 5.49331 0.107685
322 5.56903 0.26417
323 5.51942 0.206981
324 5.4859 0.097514
325 5.4965 0.115716
326 5.52241 0.157218
327 5.46393 0.0422149
328 5.53904 0.2036
329 5.46588 0.0523847
330 5.45537 3.26468e-07
331 5.61654 0.321691
332 5.55949 0.21797
333 5.51243 0.127663
334 5.62119 0.35482
335 5.45537 3.26468e-07
336 5.45537 3.26468e-07
337 5.56803 0.296074
338 5.79976 0.560203
339 5.50344 0.135803
340 5.46838 0.0459522
341 5.45537 3.26468e-07
342 5.45537 3.26468e-07
343 5.48225 0.1223
344 5.45537 3.26468e-07
345 5.45853 0.0221568
346 5.45537 3.26468e-07
347 5.50319 0.166643
348 5.46043 0.0354216
349 5.45537 3.26468e-07
350 5.47598 0.0843699
351 5.47456 0.0697981
352 5.48083 0.106319
353 5.45537 3.26468e-07
354 5.45537 3.26468e-07
355 5.45537 3.26468e-07
356 5.45537 3.26468e-07
357 5.45537 3.26468e-07
358 5.45537 3.26468e-07
359 5.45537 3.26468e-07
360 5.45537 3.26468e-07
361 5.49016 0.0902825
362 5.59156 0.270469
363 5.7446 0.472976
364 5.45537 3.26468e-07
365 5.45537 3.26468e-07
366 5.4649 0.0469101
367 5.57424 0.27823
368 5.52397 0.167644
369 5.45537 3.26468e-07
370 5.45537 3.26468e-07
371 5.45537 3.26468e-07
372 5.4865 0.10599
373 5.45537 3.26468e-07
