Iteration Mean StdDeviation
268 36.6193 4.33721
269 37.285 3.86247
270 36.9594 3.95803
271 37.0782 4.24603
272 37.0745 4.51264
273 36.6474 4.72836
274 36.3604 4.43505
275 36.7899 4.43405
276 36.8552 3.91366
277 36.5728 4.18425
278 36.6323 4.48737
279 36.3525 4.1192
280 36.2015 4.5714
281 36.1088 4.25832
282 36.3344 4.43163
283 36.2619 4.16718
284 36.3293 4.46418
285 36.4576 4.36994
286 36.6165 3.75956
287 36.7584 4.36173
288 36.6128 4.55108
289 35.9733 4.85857
290 36.2839 4.1919
291 36.031 4.06206
292 35.8421 4.0761
293 36.0495 4.61304
294 36.6263 4.51445
295 36.6948 4.42744
296 36.0762 4.67173
297 35.937 4.12314
298 35.9959 3.84865
299 36.6727 3.5747
300 36.6976 3.65621
301 36.9563 3.85909
302 36.9042 3.80693
303 36.3869 3.73796
304 36.5603 4.06554
305 36.4105 4.31202
306 36.2582 4.62094
307 36.2837 4.47465
308 36.0118 4.55703
309 36.0856 4.57954
310 36.0428 4.44904
311 35.9157 3.92634
312 35.9567 4.22556
313 36.0264 4.28609
314 36.3488 4.23043
315 36.3704 4.40187
316 36.3845 4.66826
317 36.0607 5.07644
318 36.0399 4.70243
319 36.0409 4.95072
320 36.4967 5.1659
321 36.3338 4.90242
322 36.398 4.95976
323 36.11 5.42908
324 36.1019 5.21988
325 36.7259 4.89462
326 36.4898 4.75285
327 36.2085 5.59213
328 36.3453 5.73237
329 36.5413 5.68967
330 36.5342 5.01001
331 36.6588 4.51317
332 36.5922 4.21861
333 36.9121 4.47946
334 36.2848 4.63545
335 36.0443 4.4979
336 36.262 4.6565
337 35.8683 4.93232
338 36.0129 4.68922
339 36.2715 4.56665
340 35.7886 4.85275
341 35.4761 5.1495
342 35.5786 5.03912
343 35.8122 4.60865
344 35.8255 4.79342
345 35.5372 5.01099
346 36.1823 5.0074
347 36.2881 4.67131
348 36.455 4.10234
349 36.4569 4.35319
350 36.6845 4.83034
351 36.6833 5.0328
352 36.5168 4.807
353 36.5708 4.96206
354 36.3671 5.32829
355 36.1857 5.58905
356 35.9516 5.79972
357 36.3208 5.15301
358 36.1532 4.9914
359 36.1815 5.149
360 36.0524 4.67982
361 35.787 4.66325
362 35.5787 4.82315
363 35.6489 5.08303
364 36.0684 4.75167
365 35.8623 5.44234
366 35.7277 4.9117
367 35.842 5.20317
368 35.6591 5.20083
369 35.5094 5.44447
370 35.5828 5.44722
371 35.1557 4.87254
372 35.2567 4.48463
373 35.3487 4.65103
374 35.5618 4.51744
375 35.7134 4.41616
376 35.2338 4.4399
377 35.9106 4.75768
378 35.8582 4.17698
379 36.1906 4.75085
380 35.779 5.01257
381 35.873 4.60651
382 35.5189 4.56113
383 35.8126 4.63587
384 35.7184 4.78184
385 35.9026 5.35107
386 35.9476 5.21618
387 35.6541 4.69658
388 36.024 5.05159
