Iteration Mean StdDeviation
268 16.001 1.88049
269 15.9429 1.99147
270 16.0198 1.79067
271 15.9706 1.78679
272 15.9955 1.77152
273 16.079 1.95742
274 15.9312 1.90514
275 16.1321 2.02568
276 16.1718 2.20766
277 16.0034 1.97572
278 16.0467 2.10768
279 15.9436 2.23833
280 15.9126 2.2851
281 15.7034 2.38865
282 15.3957 2.22199
283 15.4796 2.34099
284 15.4909 2.15343
285 15.7058 2.21259
286 15.7992 2.13448
287 15.9255 2.06559
288 16.0049 1.95617
289 16.1315 2.07769
290 16.0438 2.17294
291 15.9726 2.11261
292 15.975 2.27745
293 15.878 2.02259
294 15.6475 2.12851
295 15.6597 2.26645
296 15.6371 2.13297
297 15.5784 1.85384
298 15.8121 2.08719
299 15.7747 2.00306
300 15.6709 1.98617
301 15.7161 1.92795
302 15.686 1.80437
303 15.8606 1.82713
304 15.8633 1.98082
305 15.9142 1.87437
306 15.9409 1.88136
307 15.9035 1.99662
308 15.9192 1.7989
309 15.966 1.91915
310 15.7338 1.89865
311 15.8099 1.7631
312 15.6913 1.8148
313 15.8089 1.84216
314 15.8447 1.9939
315 15.9443 1.82741
316 16.1134 1.8861
317 15.9329 1.98711
318 15.8947 1.95195
319 15.914 2.06956
320 15.9382 2.18953
321 15.8196 2.18746
322 15.7538 2.25167
323 15.8095 2.05879
324 15.8431 2.07444
325 15.695 2.15372
326 15.8241 2.04737
327 15.9611 1.93113
328 15.9606 2.00448
329 15.9598 2.03983
330 16.0207 2.03145
331 15.965 2.2405
332 15.9934 2.19075
333 15.8632 2.22635
334 15.5802 2.12976
335 15.7249 2.35143
336 15.6916 2.13623
337 15.7894 2.21718
338 15.7423 1.97292
339 15.8219 2.12961
340 15.8588 1.90956
341 15.834 1.77821
342 15.8 1.82279
343 15.9592 1.8324
344 15.9238 1.71147
345 15.7823 1.93475
346 15.754 1.84487
347 15.5802 1.86038
348 15.6163 1.71361
349 15.5367 1.77302
350 15.6679 1.89025
351 15.568 2.00362
352 15.4955 2.03252
353 15.6241 1.97795
354 15.693 1.8176
355 15.734 1.85083
356 15.757 2.14353
357 15.7477 2.12309
358 15.576 1.99666
359 15.6258 1.92569
360 15.7234 2.01305
361 15.7368 2.02099
362 15.6983 1.92456
363 15.8399 1.86412
364 16.057 1.92038
365 15.935 1.87814
366 15.9029 1.85176
367 15.8576 1.8575
368 15.9676 1.80263
369 15.9552 2.10898
370 15.8606 2.24106
371 15.9583 2.22087
372 15.8632 2.17324
373 15.9741 2.06013
374 15.9983 2.17205
375 15.7859 2.06576
376 15.5488 1.99106
377 15.6266 2.06164
378 15.6768 2.09188
379 15.6809 2.09801
380 15.8694 2.20541
381 15.9063 1.96777
382 15.9429 2.12261
383 15.8603 2.179
384 15.9578 2.0334
385 15.9401 2.32144
386 15.8022 2.27563
387 15.7874 2.35861
