#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
             1  4.567029e-01  4.567029e-01  0.000000e+00
             2  4.490594e-01  4.528812e-01  2.702382e-03
             3  4.623800e-01  4.560474e-01  3.151067e-03
             4  4.541017e-01  4.555610e-01  2.400554e-03
             5  4.680667e-01  4.580621e-01  2.948333e-03
             6  4.510959e-01  4.569011e-01  2.675804e-03
             7  4.367222e-01  4.540184e-01  3.518973e-03
             8  4.338688e-01  4.514997e-01  3.877078e-03
             9  4.281374e-01  4.489039e-01  4.226873e-03
            10  4.539830e-01  4.494118e-01  3.834580e-03
            11  4.666879e-01  4.509824e-01  3.794006e-03
            12  4.689065e-01  4.524760e-01  3.760387e-03
            13  4.411902e-01  4.516079e-01  3.569932e-03
            14  4.390926e-01  4.507139e-01  3.425036e-03
            15  4.548867e-01  4.509921e-01  3.207978e-03
            16  4.284240e-01  4.495816e-01  3.303047e-03
            17  4.257286e-01  4.481785e-01  3.393709e-03
            18  4.298350e-01  4.471594e-01  3.354690e-03
            19  4.345142e-01  4.464939e-01  3.243473e-03
            20  4.450769e-01  4.464230e-01  3.082073e-03
            21  4.608628e-01  4.471106e-01  3.011033e-03
            22  4.436618e-01  4.469539e-01  2.878246e-03
            23  4.458465e-01  4.469057e-01  2.753508e-03
            24  4.285736e-01  4.461419e-01  2.742679e-03
            25  4.501556e-01  4.463024e-01  2.637667e-03
            26  4.503173e-01  4.464569e-01  2.540734e-03
            27  4.463867e-01  4.464543e-01  2.446634e-03
            28  4.596093e-01  4.469241e-01  2.403941e-03
            29  4.282421e-01  4.462799e-01  2.405816e-03
            30  4.465655e-01  4.462894e-01  2.325641e-03
            31  4.479879e-01  4.463442e-01  2.251265e-03
            32  4.402997e-01  4.461553e-01  2.188823e-03
            33  4.303419e-01  4.456761e-01  2.174317e-03
            34  4.557067e-01  4.459711e-01  2.130287e-03
            35  4.256698e-01  4.453911e-01  2.146937e-03
            36  4.662228e-01  4.459697e-01  2.163877e-03
            37  4.166315e-01  4.451768e-01  2.245979e-03
            38  4.431019e-01  4.451222e-01  2.187538e-03
            39  4.549130e-01  4.453733e-01  2.145804e-03
            40  4.343294e-01  4.450972e-01  2.109846e-03
            41  4.270371e-01  4.446567e-01  2.103867e-03
            42  4.255566e-01  4.442019e-01  2.102350e-03
            43  4.424929e-01  4.441622e-01  2.053834e-03
            44  4.369065e-01  4.439973e-01  2.013765e-03
            45  4.518221e-01  4.441711e-01  1.976507e-03
            46  4.408827e-01  4.440997e-01  1.934832e-03
            47  4.179835e-01  4.435440e-01  1.971842e-03
            48  4.351633e-01  4.433694e-01  1.938476e-03
            49  4.370163e-01  4.432397e-01  1.903247e-03
            50  4.508741e-01  4.433924e-01  1.871296e-03
            51  4.167648e-01  4.428703e-01  1.906050e-03
            52  4.449768e-01  4.429108e-01  1.869826e-03
            53  4.639912e-01  4.433086e-01  1.876373e-03
            54  4.627613e-01  4.436688e-01  1.875886e-03
            55  4.307705e-01  4.434343e-01  1.856380e-03
            56  4.399100e-01  4.433714e-01  1.824297e-03
            57  4.409421e-01  4.433287e-01  1.792790e-03
            58  4.372434e-01  4.432238e-01  1.764947e-03
            59  4.476780e-01  4.432993e-01  1.736646e-03
            60  4.453718e-01  4.433339e-01  1.708046e-03
            61  4.395664e-01  4.432721e-01  1.681161e-03
            62  4.426941e-01  4.432628e-01  1.654072e-03
            63  4.426258e-01  4.432527e-01  1.627847e-03
            64  4.327200e-01  4.430881e-01  1.610710e-03
            65  4.411525e-01  4.430583e-01  1.586205e-03
            66  4.425537e-01  4.430507e-01  1.562190e-03
            67  4.313881e-01  4.428766e-01  1.548541e-03
            68  4.391834e-01  4.428223e-01  1.526721e-03
            69  4.358285e-01  4.427209e-01  1.507955e-03
            70  4.055799e-01  4.421903e-01  1.576998e-03
            71  4.533782e-01  4.423479e-01  1.562640e-03
            72  4.351167e-01  4.422475e-01  1.544160e-03
            73  4.379458e-01  4.421886e-01  1.524131e-03
            74  4.164702e-01  4.418410e-01  1.542651e-03
            75  4.127098e-01  4.414526e-01  1.570220e-03
            76  4.485931e-01  4.415465e-01  1.552368e-03
            77  4.658958e-01  4.418628e-01  1.564084e-03
            78  4.554865e-01  4.420374e-01  1.553753e-03
            79  4.275939e-01  4.418546e-01  1.544805e-03
            80  4.361301e-01  4.417830e-01  1.527151e-03
            81  4.456562e-01  4.418309e-01  1.509046e-03
            82  4.333178e-01  4.417270e-01  1.494210e-03
            83  4.489258e-01  4.418138e-01  1.478722e-03
            84  4.562358e-01  4.419855e-01  1.471052e-03
            85  4.341308e-01  4.418931e-01  1.456645e-03
            86  4.517508e-01  4.420077e-01  1.444210e-03
            87  4.408359e-01  4.419942e-01  1.427673e-03
            88  4.243361e-01  4.417936e-01  1.425481e-03
            89  4.425230e-01  4.418018e-01  1.409488e-03
            90  4.503692e-01  4.418969e-01  1.397038e-03
            91  4.400552e-01  4.418767e-01  1.381832e-03
            92  4.193770e-01  4.416321e-01  1.388285e-03
            93  4.301407e-01  4.415086e-01  1.378846e-03
            94  4.133790e-01  4.412093e-01  1.396273e-03
            95  4.419368e-01  4.412170e-01  1.381596e-03
            96  4.643067e-01  4.414575e-01  1.387982e-03
            97  4.210560e-01  4.412472e-01  1.389517e-03
            98  4.262070e-01  4.410937e-01  1.383788e-03
            99  4.386938e-01  4.410695e-01  1.370022e-03
           100  4.438839e-01  4.410976e-01  1.356611e-03
