# DISTANCE:     AVE_GOFR:        ERROR:
        1.1533214397429437e-02        8.0159113896784129e-01        3.4182860800575232e-01
        3.4599643192288310e-02        1.2559192177324248e+00        2.5840544877399668e-01
        5.7666071987147183e-02        1.0766771866581331e+00        1.4758751204277074e-01
        8.0732500782006056e-02        1.0770665380769808e+00        1.0385302844548179e-01
        1.0379892957686493e-01        1.0484893293123296e+00        8.3265052673009904e-02
        1.2686535837172380e-01        9.9774571143571567e-01        6.1028158928900039e-02
        1.4993178716658268e-01        9.6549115163433408e-01        5.4156717328214810e-02
        1.7299821596144155e-01        9.9170247370163978e-01        5.3596503893324821e-02
        1.9606464475630042e-01        9.4889939031239190e-01        4.2508101874490632e-02
        2.1913107355115929e-01        9.7569847542502586e-01        4.6480352209455789e-02
        2.4219750234601817e-01        1.0011767596717165e+00        3.9299076854243470e-02
        2.6526393114087704e-01        1.0230050211819688e+00        3.9608342484832762e-02
        2.8833035993573591e-01        1.0104825632420105e+00        3.5125087879468678e-02
        3.1139678873059479e-01        1.0037968851749719e+00        2.8524048390006506e-02
        3.3446321752545366e-01        1.0262366089753048e+00        2.7889843733277551e-02
        3.5752964632031253e-01        9.9919818293471940e-01        3.1135768603936780e-02
        3.8059607511517141e-01        9.9754787061429750e-01        2.9237070458657519e-02
        4.0366250391003028e-01        1.0252611418357995e+00        2.9798254843313925e-02
        4.2672893270488915e-01        1.0220206114571917e+00        2.6535719421952850e-02
        4.4979536149974803e-01        1.0065539659122662e+00        2.4065789961768700e-02
        4.7286179029460690e-01        9.8918877894510593e-01        2.3320375142852970e-02
        4.9592821908946577e-01        9.6168289274953345e-01        2.1405941520894395e-02
        5.1899464788432459e-01        9.8371536409019122e-01        2.1125605407356609e-02
        5.4206107667918357e-01        9.6907846130542652e-01        1.7160605287846346e-02
        5.6512750547404234e-01        9.6385035477141690e-01        1.7850282167357009e-02
        5.8819393426890132e-01        9.6180381205320131e-01        1.7763368263727104e-02
        6.1126036306376008e-01        9.6953614482781325e-01        1.8123634800492387e-02
        6.3432679185861907e-01        9.8322274648109109e-01        1.6987720289501247e-02
        6.5739322065347783e-01        9.8739118882370769e-01        1.6129388763819613e-02
        6.8045964944833681e-01        9.8793344205055256e-01        1.5933597120289644e-02
        7.0352607824319557e-01        9.8562228445175881e-01        1.4017254261989815e-02
        7.2659250703805456e-01        9.9849782947003463e-01        1.6176052793899238e-02
        7.4965893583291332e-01        9.9120934318842946e-01        1.3412294523287299e-02
        7.7272536462777230e-01        9.9117257931903346e-01        1.2189671680032623e-02
        7.9579179342263107e-01        1.0029849061703422e+00        1.2397100608466395e-02
        8.1885822221749005e-01        9.9541547407773212e-01        1.0935555472982413e-02
        8.4192465101234881e-01        9.8547916033970473e-01        9.6791570060901742e-03
        8.6499107980720780e-01        9.9785343158493534e-01        9.5159587193140195e-03
        8.8805750860206656e-01        9.9363970295719029e-01        9.8912592897662487e-03
