# DISTANCE:     AVE_GOFR:        ERROR:
        1.1533214397429437e-02        8.5822163154420683e-01        3.8914121234975640e-01
        3.4599643192288310e-02        1.1722576170215357e+00        2.6231558124821708e-01
        5.7666071987147183e-02        1.1122013479891926e+00        1.6340292012636903e-01
        8.0732500782006056e-02        1.0828486304121054e+00        1.1384756565322271e-01
        1.0379892957686493e-01        1.0391466979583313e+00        8.9067730394100264e-02
        1.2686535837172380e-01        9.5368989477941235e-01        6.1539755768559370e-02
        1.4993178716658268e-01        9.1957398605783158e-01        5.1331710507729153e-02
        1.7299821596144155e-01        9.5328261782653578e-01        5.1364318858457915e-02
        1.9606464475630042e-01        9.3634901105094470e-01        4.2368024709384132e-02
        2.1913107355115929e-01        9.7250672872077870e-01        5.1832336255316899e-02
        2.4219750234601817e-01        1.0022820495810136e+00        4.2747429341875663e-02
        2.6526393114087704e-01        1.0017516047899961e+00        4.2183387518968045e-02
        2.8833035993573591e-01        9.9328086185530817e-01        3.7882080223687685e-02
        3.1139678873059479e-01        9.8616076183758894e-01        3.0409244882648404e-02
        3.3446321752545366e-01        1.0097651459306483e+00        2.9158425617130210e-02
        3.5752964632031253e-01        9.8897946656656655e-01        3.3985434509055015e-02
        3.8059607511517141e-01        9.8948241813343230e-01        3.2889917875195296e-02
        4.0366250391003028e-01        1.0124895215585354e+00        3.2738928001250694e-02
        4.2672893270488915e-01        1.0141892911759680e+00        2.8983105132156912e-02
        4.4979536149974803e-01        1.0064643519766960e+00        2.6792821155467706e-02
        4.7286179029460690e-01        9.7576039555663352e-01        2.4851107174767222e-02
        4.9592821908946577e-01        9.5507945301238073e-01        2.2233288978114458e-02
        5.1899464788432459e-01        9.8220250732068470e-01        2.2577973123345845e-02
        5.4206107667918357e-01        9.6797430205005364e-01        1.8175715495344705e-02
        5.6512750547404234e-01        9.6309058491406807e-01        2.0135655302206932e-02
        5.8819393426890132e-01        9.6980271420699982e-01        2.0096309819944657e-02
        6.1126036306376008e-01        9.6843721480570133e-01        2.0107951102133363e-02
        6.3432679185861907e-01        9.8163333546710441e-01        1.8532606894173166e-02
        6.5739322065347783e-01        9.8630399225188303e-01        1.7767457336821217e-02
        6.8045964944833681e-01        9.8816556809615708e-01        1.7832068653751341e-02
        7.0352607824319557e-01        9.8242578231615918e-01        1.5899717436384547e-02
        7.2659250703805456e-01        9.9317144375170385e-01        1.8160127854722527e-02
        7.4965893583291332e-01        9.8517341773422495e-01        1.4780925155190434e-02
        7.7272536462777230e-01        9.8501926159874031e-01        1.3359119733955468e-02
        7.9579179342263107e-01        9.9986296440236633e-01        1.2588948347143169e-02
        8.1885822221749005e-01        9.9483137546667921e-01        1.1626499626429912e-02
        8.4192465101234881e-01        9.8348042516621181e-01        1.0214673497784679e-02
        8.6499107980720780e-01        9.9565386180899629e-01        9.6057131298982936e-03
        8.8805750860206656e-01        9.8653046998768845e-01        1.0183819477238985e-02
        9.1112393739692554e-01        1.0043013959797411e+00        1.1798048256076908e-02
        9.3419036619178430e-01        9.9909387031880470e-01        9.5584711834448381e-03
        9.5725679498664329e-01        1.0050088587064339e+00        1.0299009715743133e-02
        9.8032322378150205e-01        9.9698806431981446e-01        1.2115020306311121e-02
        1.0033896525763610e+00        9.9926014002953023e-01        1.2210218380917728e-02
        1.0264560813712198e+00        9.9793478191989160e-01        9.8158473018198043e-03
        1.0495225101660788e+00        1.0127794380458621e+00        1.2301578922272575e-02
        1.0725889389609375e+00        1.0264371006344797e+00        1.6483453356933242e-02
        1.0956553677557965e+00        1.0353387103191423e+00        2.3606800074691275e-02
        1.1187217965506553e+00        1.0108745167087267e+00        1.1261923963732507e-02
        1.1417882253455143e+00        1.0024168427476250e+00        9.6227339697981754e-03
        1.1648546541403730e+00        9.9873471878086517e-01        8.3269622452033891e-03
        1.1879210829352320e+00        9.9270944902271330e-01        8.3604644941406691e-03
        1.2109875117300908e+00        9.8687667122957179e-01        7.8443261323547387e-03
        1.2340539405249498e+00        9.9686014460236760e-01        8.2671293810994990e-03
        1.2571203693198085e+00        9.9749993155224803e-01        9.4190556926625410e-03
        1.2801867981146675e+00        9.8338577557667173e-01        8.1758807996533418e-03
        1.3032532269095263e+00        9.8559362664510852e-01        9.0042174571484754e-03
        1.3263196557043853e+00        9.9657266663837474e-01        9.1144754976721434e-03
        1.3493860844992440e+00        9.9471726237233538e-01        8.8460470457051386e-03
        1.3724525132941030e+00        9.9430728069958885e-01        8.9288504134323737e-03
