#   N_BLOCK:  ACCEPTANCE:
             1  4.661880e-01
             2  4.661100e-01
             3  4.673804e-01
             4  4.670377e-01
             5  4.671221e-01
             6  4.670842e-01
             7  4.674870e-01
             8  4.676920e-01
             9  4.676219e-01
            10  4.675452e-01
            11  4.676673e-01
            12  4.679104e-01
            13  4.680402e-01
            14  4.679181e-01
            15  4.679937e-01
            16  4.679084e-01
            17  4.679442e-01
            18  4.678973e-01
            19  4.678886e-01
            20  4.679402e-01
            21  4.679408e-01
            22  4.678427e-01
            23  4.678726e-01
            24  4.677778e-01
            25  4.676891e-01
            26  4.676645e-01
            27  4.676353e-01
            28  4.676283e-01
            29  4.676125e-01
            30  4.676247e-01
            31  4.676873e-01
            32  4.676845e-01
            33  4.676424e-01
            34  4.677135e-01
            35  4.677189e-01
            36  4.677853e-01
            37  4.677774e-01
            38  4.677177e-01
            39  4.676981e-01
            40  4.677042e-01
            41  4.677105e-01
            42  4.676843e-01
            43  4.676508e-01
            44  4.676472e-01
            45  4.676541e-01
            46  4.676188e-01
            47  4.676231e-01
            48  4.675947e-01
            49  4.675659e-01
            50  4.675938e-01
            51  4.675872e-01
            52  4.675503e-01
            53  4.675575e-01
            54  4.675073e-01
            55  4.675161e-01
            56  4.675394e-01
            57  4.675324e-01
            58  4.675663e-01
            59  4.675851e-01
            60  4.675864e-01
            61  4.676017e-01
            62  4.676203e-01
            63  4.675886e-01
            64  4.676334e-01
            65  4.676013e-01
            66  4.675997e-01
            67  4.675364e-01
            68  4.675323e-01
            69  4.674890e-01
            70  4.674638e-01
            71  4.674500e-01
            72  4.674479e-01
            73  4.674283e-01
            74  4.674242e-01
            75  4.674297e-01
            76  4.674174e-01
            77  4.674310e-01
            78  4.674196e-01
            79  4.674385e-01
            80  4.674725e-01
            81  4.674590e-01
            82  4.674411e-01
            83  4.674440e-01
            84  4.674260e-01
            85  4.674500e-01
            86  4.674464e-01
            87  4.674168e-01
            88  4.674146e-01
            89  4.674258e-01
            90  4.674281e-01
            91  4.674256e-01
            92  4.674219e-01
            93  4.674299e-01
            94  4.674001e-01
            95  4.674144e-01
            96  4.673951e-01
            97  4.673837e-01
            98  4.673865e-01
            99  4.673743e-01
           100  4.673768e-01
