#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             1  5.592000e-03  5.592000e-03  0.000000e+00
             2 -5.736000e-03 -7.200000e-05  4.005053e-03
             3  1.462133e-02  4.825778e-03  4.808455e-03
             4 -2.309333e-03  3.042000e-03  3.923276e-03
             5 -3.776000e-03  1.678400e-03  3.367264e-03
             6  3.029333e-03  1.903556e-03  2.813571e-03
             7  1.229333e-03  1.807238e-03  2.413280e-03
             8 -1.012000e-02  3.163333e-04  2.530590e-03
             9 -9.866667e-04  1.715556e-04  2.253551e-03
            10  1.031467e-02  1.185867e-03  2.244888e-03
            11 -8.613333e-04  9.997576e-04  2.048508e-03
            12  6.074667e-03  1.422667e-03  1.920957e-03
            13  1.578667e-03  1.434667e-03  1.773228e-03
            14 -7.816000e-03  7.739048e-04  1.765392e-03
            15  1.981333e-03  8.544000e-04  1.649534e-03
            16 -1.226667e-03  7.243333e-04  1.551557e-03
            17  5.288000e-03  9.927843e-04  1.483331e-03
            18  2.448000e-03  1.073630e-03  1.403125e-03
            19  3.149333e-03  1.182877e-03  1.333523e-03
            20 -4.445333e-03  9.014667e-04  1.296199e-03
            21  5.722667e-03  1.131048e-03  1.254642e-03
            22  6.541333e-03  1.376970e-03  1.221477e-03
            23  1.408000e-03  1.378319e-03  1.168370e-03
            24  2.453333e-03  1.423111e-03  1.120546e-03
            25  4.066667e-03  1.528853e-03  1.080702e-03
            26 -1.074667e-03  1.428718e-03  1.043766e-03
            27 -1.152533e-02  9.489383e-04  1.109912e-03
            28 -9.136000e-03  5.887619e-04  1.127198e-03
            29 -1.036800e-02  2.109425e-04  1.149907e-03
            30 -1.472000e-03  1.548444e-04  1.112944e-03
            31  8.944000e-03  4.383656e-04  1.112570e-03
            32  8.240000e-04  4.504167e-04  1.077868e-03
            33  5.314667e-03  5.978182e-04  1.055236e-03
            34 -1.359467e-02  1.803922e-04  1.103678e-03
            35 -3.824000e-03  6.598095e-05  1.078058e-03
            36  6.885333e-03  2.554074e-04  1.064624e-03
            37 -1.065067e-02 -3.935135e-05  1.075881e-03
            38 -7.946667e-04 -5.922807e-05  1.047752e-03
            39 -3.293333e-03 -1.421538e-04  1.024163e-03
            40 -2.586667e-03 -2.032667e-04  1.000381e-03
            41 -1.303467e-02 -5.162276e-04  1.023765e-03
