#   N_BLOCK:  ACCEPTANCE:
             1  2.569360e-01
             2  2.543147e-01
             3  2.546836e-01
             4  2.546280e-01
             5  2.546088e-01
             6  2.545691e-01
             7  2.543076e-01
             8  2.541567e-01
             9  2.539539e-01
            10  2.543361e-01
            11  2.542189e-01
            12  2.542159e-01
            13  2.543165e-01
            14  2.541176e-01
            15  2.539210e-01
            16  2.540470e-01
            17  2.539502e-01
            18  2.539346e-01
            19  2.538401e-01
            20  2.538079e-01
            21  2.537001e-01
            22  2.536452e-01
            23  2.536631e-01
            24  2.535680e-01
            25  2.534799e-01
            26  2.534743e-01
            27  2.535301e-01
            28  2.535007e-01
            29  2.535889e-01
            30  2.536789e-01
            31  2.537705e-01
            32  2.537853e-01
            33  2.537239e-01
            34  2.536942e-01
            35  2.536641e-01
            36  2.536534e-01
            37  2.536113e-01
            38  2.536504e-01
            39  2.536803e-01
            40  2.536625e-01
            41  2.536294e-01
            42  2.536442e-01
            43  2.535728e-01
            44  2.536211e-01
            45  2.536522e-01
            46  2.536475e-01
            47  2.536299e-01
            48  2.536306e-01
            49  2.536476e-01
            50  2.536311e-01
            51  2.535348e-01
            52  2.535448e-01
            53  2.535620e-01
            54  2.534959e-01
            55  2.535529e-01
            56  2.535422e-01
            57  2.535773e-01
            58  2.535394e-01
            59  2.535947e-01
            60  2.535272e-01
            61  2.535398e-01
            62  2.535132e-01
            63  2.535293e-01
            64  2.535591e-01
            65  2.535820e-01
            66  2.535437e-01
            67  2.535094e-01
            68  2.535517e-01
            69  2.535341e-01
            70  2.535248e-01
            71  2.534855e-01
            72  2.534787e-01
            73  2.534466e-01
            74  2.534489e-01
            75  2.534267e-01
            76  2.534310e-01
            77  2.534784e-01
            78  2.535221e-01
            79  2.535038e-01
            80  2.534821e-01
            81  2.535242e-01
            82  2.535017e-01
            83  2.534734e-01
            84  2.534880e-01
            85  2.534954e-01
            86  2.535049e-01
            87  2.534958e-01
            88  2.535239e-01
            89  2.535182e-01
            90  2.535177e-01
            91  2.534971e-01
            92  2.534864e-01
            93  2.534362e-01
            94  2.534237e-01
            95  2.534440e-01
            96  2.534822e-01
            97  2.534750e-01
            98  2.534641e-01
            99  2.534593e-01
           100  2.534569e-01
