# DISTANCE:     AVE_GOFR:        ERROR:
  3.231652e-02  0.000000e+00  0.000000e+00
  9.694956e-02  0.000000e+00  0.000000e+00
  1.615826e-01  0.000000e+00  0.000000e+00
  2.262156e-01  0.000000e+00  0.000000e+00
  2.908487e-01  0.000000e+00  0.000000e+00
  3.554817e-01  0.000000e+00  0.000000e+00
  4.201148e-01  0.000000e+00  0.000000e+00
  4.847478e-01  0.000000e+00  0.000000e+00
  5.493808e-01  0.000000e+00  0.000000e+00
  6.140139e-01  0.000000e+00  0.000000e+00
  6.786469e-01  0.000000e+00  0.000000e+00
  7.432800e-01  0.000000e+00  0.000000e+00
  8.079130e-01  0.000000e+00  0.000000e+00
  8.725460e-01  7.756842e-04  4.593911e-05
  9.371791e-01  1.480573e-01  6.446165e-04
  1.001812e+00  1.065332e+00  2.256594e-03
  1.066445e+00  2.048170e+00  3.591886e-03
  1.131078e+00  2.265259e+00  3.518599e-03
  1.195711e+00  2.086308e+00  3.145056e-03
  1.260344e+00  1.832554e+00  3.105501e-03
  1.324977e+00  1.617559e+00  1.865538e-03
  1.389610e+00  1.454632e+00  2.312413e-03
  1.454243e+00  1.334749e+00  1.955102e-03
  1.518876e+00  1.249207e+00  1.990794e-03
  1.583509e+00  1.188442e+00  1.493174e-03
  1.648143e+00  1.143630e+00  1.319636e-03
  1.712776e+00  1.112194e+00  1.232605e-03
  1.777409e+00  1.091425e+00  1.188874e-03
  1.842042e+00  1.075294e+00  1.305120e-03
  1.906675e+00  1.064629e+00  1.234722e-03
  1.971308e+00  1.061239e+00  1.062790e-03
  2.035941e+00  1.057343e+00  8.858410e-04
  2.100574e+00  1.053996e+00  1.049545e-03
  2.165207e+00  1.052511e+00  1.012620e-03
  2.229840e+00  1.047423e+00  1.091463e-03
  2.294473e+00  1.044124e+00  7.680672e-04
  2.359106e+00  1.038365e+00  9.200680e-04
  2.423739e+00  1.031572e+00  7.443890e-04
  2.488372e+00  1.025991e+00  9.144737e-04
  2.553005e+00  1.022870e+00  8.448643e-04
  2.617638e+00  1.018579e+00  8.251216e-04
  2.682271e+00  1.013099e+00  7.605672e-04
  2.746904e+00  1.010664e+00  7.966970e-04
  2.811537e+00  1.007988e+00  7.671279e-04
  2.876170e+00  1.004755e+00  6.325369e-04
  2.940803e+00  1.003417e+00  7.137932e-04
  3.005436e+00  1.001867e+00  7.072477e-04
  3.070069e+00  9.995404e-01  6.131544e-04
  3.134702e+00  9.995462e-01  5.497918e-04
  3.199336e+00  9.973576e-01  7.785786e-04
  3.263969e+00  9.966190e-01  6.618600e-04
  3.328602e+00  9.968057e-01  5.006845e-04
  3.393235e+00  9.950152e-01  5.743351e-04
  3.457868e+00  9.944927e-01  6.743996e-04
  3.522501e+00  9.941217e-01  5.976449e-04
  3.587134e+00  9.939599e-01  4.957734e-04
  3.651767e+00  9.924029e-01  5.771173e-04
  3.716400e+00  9.914237e-01  5.414660e-04
  3.781033e+00  9.911369e-01  5.052703e-04
  3.845666e+00  9.897920e-01  5.388793e-04
  3.910299e+00  9.893175e-01  4.581237e-04
  3.974932e+00  9.889838e-01  4.740606e-04
  4.039565e+00  9.890334e-01  3.887028e-04
  4.104198e+00  9.884053e-01  5.181684e-04
  4.168831e+00  9.890932e-01  5.781326e-04
  4.233464e+00  9.885577e-01  4.977383e-04
  4.298097e+00  9.876229e-01  5.438659e-04
  4.362730e+00  9.877394e-01  4.121785e-04
  4.427363e+00  9.881991e-01  3.813832e-04
  4.491996e+00  9.883080e-01  4.171465e-04
  4.556629e+00  9.878695e-01  4.173067e-04
  4.621262e+00  9.872577e-01  4.547551e-04
  4.685895e+00  9.875475e-01  3.805631e-04
  4.750528e+00  9.877329e-01  4.183637e-04
  4.815162e+00  9.870835e-01  4.368941e-04
  4.879795e+00  9.873154e-01  3.250422e-04
  4.944428e+00  9.865854e-01  3.621409e-04
  5.009061e+00  9.867802e-01  2.998474e-04
  5.073694e+00  9.859831e-01  2.970956e-04
  5.138327e+00  9.860364e-01  4.673912e-04
  5.202960e+00  9.861382e-01  3.538660e-04
  5.267593e+00  9.870228e-01  3.262621e-04
  5.332226e+00  9.863501e-01  3.551118e-04
  5.396859e+00  9.859465e-01  3.843286e-04
  5.461492e+00  9.857612e-01  3.402146e-04
  5.526125e+00  9.867888e-01  3.697886e-04
  5.590758e+00  9.863858e-01  3.363393e-04
  5.655391e+00  9.864587e-01  3.707927e-04
  5.720024e+00  9.855221e-01  3.175853e-04
  5.784657e+00  9.861384e-01  3.099787e-04
  5.849290e+00  9.864136e-01  3.460663e-04
  5.913923e+00  9.861542e-01  3.692943e-04
  5.978556e+00  9.861293e-01  3.207260e-04
  6.043189e+00  9.857066e-01  3.242498e-04
  6.107822e+00  9.858324e-01  3.742712e-04
  6.172455e+00  9.856386e-01  2.910260e-04
  6.237088e+00  9.864452e-01  2.708055e-04
  6.301721e+00  9.858914e-01  3.011230e-04
  6.366355e+00  9.857499e-01  2.847235e-04
  6.430988e+00  9.853972e-01  2.834285e-04
