#   N_BLOCK:  ACCEPTANCE:
             1  3.484627e-01
             2  3.478233e-01
             3  3.487942e-01
             4  3.491457e-01
             5  3.492795e-01
             6  3.495951e-01
             7  3.497282e-01
             8  3.494768e-01
             9  3.494492e-01
            10  3.495117e-01
            11  3.496410e-01
            12  3.499471e-01
            13  3.499155e-01
            14  3.499243e-01
            15  3.499506e-01
            16  3.498612e-01
            17  3.497677e-01
            18  3.498126e-01
            19  3.498681e-01
            20  3.498863e-01
            21  3.500347e-01
            22  3.500451e-01
            23  3.499612e-01
            24  3.499002e-01
            25  3.499273e-01
            26  3.499791e-01
            27  3.500638e-01
            28  3.499071e-01
            29  3.498339e-01
            30  3.499035e-01
            31  3.498715e-01
            32  3.498593e-01
            33  3.497795e-01
            34  3.497431e-01
            35  3.497558e-01
            36  3.498125e-01
            37  3.497559e-01
            38  3.497006e-01
            39  3.496906e-01
            40  3.496688e-01
            41  3.496729e-01
            42  3.496628e-01
            43  3.496629e-01
            44  3.496929e-01
            45  3.497127e-01
            46  3.496457e-01
            47  3.496225e-01
            48  3.496425e-01
            49  3.495917e-01
            50  3.496425e-01
            51  3.496306e-01
            52  3.496215e-01
            53  3.496588e-01
            54  3.496375e-01
            55  3.496784e-01
            56  3.496644e-01
            57  3.496951e-01
            58  3.496923e-01
            59  3.497205e-01
            60  3.496890e-01
            61  3.496831e-01
            62  3.497094e-01
            63  3.496949e-01
            64  3.496986e-01
            65  3.496993e-01
            66  3.496454e-01
            67  3.496159e-01
            68  3.496331e-01
            69  3.496521e-01
            70  3.496284e-01
            71  3.496526e-01
            72  3.496438e-01
            73  3.496346e-01
            74  3.496599e-01
            75  3.496897e-01
            76  3.496957e-01
            77  3.497125e-01
            78  3.497410e-01
            79  3.497363e-01
            80  3.497563e-01
            81  3.497400e-01
            82  3.497343e-01
            83  3.497413e-01
            84  3.497395e-01
            85  3.497588e-01
            86  3.497525e-01
            87  3.497596e-01
            88  3.497638e-01
            89  3.497787e-01
            90  3.498130e-01
            91  3.498140e-01
            92  3.498140e-01
            93  3.498066e-01
            94  3.497988e-01
            95  3.498097e-01
            96  3.498021e-01
            97  3.497694e-01
            98  3.498009e-01
            99  3.498083e-01
           100  3.498298e-01
