#   N_BLOCK:  ACCEPTANCE:
             1  3.746267e-01
             2  3.753480e-01
             3  3.761427e-01
             4  3.755807e-01
             5  3.757341e-01
             6  3.758633e-01
             7  3.763859e-01
             8  3.763783e-01
             9  3.763105e-01
            10  3.764504e-01
            11  3.766612e-01
            12  3.766381e-01
            13  3.767005e-01
            14  3.765422e-01
            15  3.766393e-01
            16  3.765205e-01
            17  3.764668e-01
            18  3.766936e-01
            19  3.767733e-01
            20  3.767988e-01
            21  3.768922e-01
            22  3.768421e-01
            23  3.768288e-01
            24  3.767909e-01
            25  3.767935e-01
            26  3.768287e-01
            27  3.768187e-01
            28  3.767350e-01
            29  3.767055e-01
            30  3.767522e-01
            31  3.767455e-01
            32  3.767207e-01
            33  3.766219e-01
            34  3.766296e-01
            35  3.765811e-01
            36  3.766135e-01
            37  3.765729e-01
            38  3.765202e-01
            39  3.765274e-01
            40  3.765128e-01
            41  3.765283e-01
            42  3.765229e-01
            43  3.765238e-01
            44  3.765770e-01
            45  3.766120e-01
            46  3.765536e-01
            47  3.765405e-01
            48  3.765698e-01
            49  3.765424e-01
            50  3.765481e-01
            51  3.765252e-01
            52  3.765057e-01
            53  3.765108e-01
            54  3.765093e-01
            55  3.765313e-01
            56  3.765296e-01
            57  3.765683e-01
            58  3.765688e-01
            59  3.765962e-01
            60  3.765830e-01
            61  3.765692e-01
            62  3.766126e-01
            63  3.766081e-01
            64  3.766273e-01
            65  3.765890e-01
            66  3.765692e-01
            67  3.765550e-01
            68  3.765514e-01
            69  3.765212e-01
            70  3.765242e-01
            71  3.765467e-01
            72  3.765326e-01
            73  3.765243e-01
            74  3.765236e-01
            75  3.765208e-01
            76  3.764994e-01
            77  3.765034e-01
            78  3.765404e-01
            79  3.765635e-01
            80  3.765522e-01
            81  3.765594e-01
            82  3.765728e-01
            83  3.765852e-01
            84  3.765894e-01
            85  3.766104e-01
            86  3.766305e-01
            87  3.766201e-01
            88  3.766208e-01
            89  3.766187e-01
            90  3.766281e-01
            91  3.766260e-01
            92  3.766080e-01
            93  3.766136e-01
            94  3.766256e-01
            95  3.766226e-01
            96  3.766227e-01
            97  3.765892e-01
            98  3.765923e-01
            99  3.765788e-01
           100  3.766011e-01
