#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             1  2.139227e-01  2.139227e-01  0.000000e+00
             2  1.831013e-01  1.985120e-01  1.089699e-02
             3  2.285467e-01  2.085236e-01  1.093600e-02
             4  1.783920e-01  2.009907e-01  1.048003e-02
             5  1.921920e-01  1.992309e-01  8.530489e-03
             6  2.324187e-01  2.047622e-01  8.719527e-03
             7  2.209387e-01  2.070731e-01  7.774081e-03
             8  2.069387e-01  2.070563e-01  6.802339e-03
             9  2.194827e-01  2.084370e-01  6.185061e-03
            10  1.647040e-01  2.040637e-01  6.942603e-03
            11  2.230853e-01  2.057930e-01  6.523259e-03
            12  2.321760e-01  2.079916e-01  6.339340e-03
            13  1.557200e-01  2.039707e-01  7.011866e-03
            14  2.464320e-01  2.070036e-01  7.136883e-03
            15  2.094453e-01  2.071664e-01  6.662947e-03
            16  2.354160e-01  2.089320e-01  6.476221e-03
            17  1.880720e-01  2.077049e-01  6.210425e-03
            18  2.162880e-01  2.081818e-01  5.883679e-03
            19  1.776320e-01  2.065739e-01  5.789544e-03
            20  2.028000e-01  2.063852e-01  5.503141e-03
            21  1.958827e-01  2.058851e-01  5.263763e-03
            22  2.292693e-01  2.069480e-01  5.130697e-03
            23  2.085387e-01  2.070172e-01  4.908090e-03
            24  2.215173e-01  2.076213e-01  4.740626e-03
            25  2.106773e-01  2.077436e-01  4.552577e-03
            26  1.963120e-01  2.073039e-01  4.398658e-03
            27  2.279920e-01  2.080701e-01  4.301964e-03
            28  1.943360e-01  2.075796e-01  4.176192e-03
            29  2.035947e-01  2.074422e-01  4.034445e-03
            30  1.918560e-01  2.069227e-01  3.933274e-03
            31  1.918213e-01  2.064355e-01  3.836442e-03
            32  2.404747e-01  2.074993e-01  3.861206e-03
            33  2.105467e-01  2.075916e-01  3.745304e-03
            34  2.256613e-01  2.081231e-01  3.672662e-03
            35  1.966000e-01  2.077938e-01  3.582455e-03
            36  2.120107e-01  2.079110e-01  3.484857e-03
            37  2.186480e-01  2.082012e-01  3.402732e-03
            38  1.817227e-01  2.075044e-01  3.383779e-03
            39  2.138133e-01  2.076661e-01  3.300880e-03
            40  2.297547e-01  2.082183e-01  3.264222e-03
            41  2.121307e-01  2.083138e-01  3.186002e-03
            42  2.565120e-01  2.094613e-01  3.310374e-03
            43  2.110373e-01  2.094980e-01  3.233591e-03
            44  2.083947e-01  2.094729e-01  3.160198e-03
            45  1.793893e-01  2.088044e-01  3.159892e-03
            46  1.668373e-01  2.078921e-01  3.220210e-03
            47  2.012267e-01  2.077502e-01  3.154816e-03
            48  2.151200e-01  2.079038e-01  3.092825e-03
            49  2.192613e-01  2.081356e-01  3.038379e-03
            50  1.697600e-01  2.073681e-01  3.073022e-03
            51  2.246533e-01  2.077070e-01  3.031399e-03
            52  2.311893e-01  2.081586e-01  3.006551e-03
            53  2.114933e-01  2.082215e-01  2.950482e-03
            54  1.723333e-01  2.075569e-01  2.969750e-03
            55  1.843973e-01  2.071358e-01  2.945456e-03
            56  2.344000e-01  2.076227e-01  2.932820e-03
            57  1.918400e-01  2.073458e-01  2.894408e-03
            58  1.908000e-01  2.070605e-01  2.858528e-03
            59  2.160160e-01  2.072123e-01  2.814105e-03
            60  1.502000e-01  2.062621e-01  2.923227e-03
            61  1.963467e-01  2.060995e-01  2.879821e-03
            62  1.721253e-01  2.055516e-01  2.885035e-03
            63  2.120533e-01  2.056548e-01  2.841086e-03
            64  1.733867e-01  2.051506e-01  2.841080e-03
            65  2.030880e-01  2.051189e-01  2.797548e-03
            66  2.225707e-01  2.053833e-01  2.767629e-03
            67  2.294480e-01  2.057424e-01  2.749529e-03
            68  2.395307e-01  2.062393e-01  2.753626e-03
            69  2.026987e-01  2.061880e-01  2.714197e-03
            70  2.380533e-01  2.066432e-01  2.713328e-03
            71  2.539547e-01  2.073096e-01  2.755722e-03
            72  2.011067e-01  2.072234e-01  2.718795e-03
            73  2.045680e-01  2.071871e-01  2.681794e-03
            74  2.472267e-01  2.077281e-01  2.699585e-03
            75  1.835760e-01  2.074061e-01  2.682729e-03
            76  2.014000e-01  2.073271e-01  2.648594e-03
            77  2.184000e-01  2.074709e-01  2.618097e-03
            78  1.858373e-01  2.071935e-01  2.599182e-03
            79  2.247387e-01  2.074156e-01  2.575751e-03
            80  2.187813e-01  2.075577e-01  2.547470e-03
            81  1.483173e-01  2.068263e-01  2.618901e-03
            82  2.163680e-01  2.069427e-01  2.589547e-03
            83  2.099067e-01  2.069784e-01  2.558594e-03
            84  1.763707e-01  2.066140e-01  2.553949e-03
            85  2.581493e-01  2.072203e-01  2.594871e-03
            86  2.285253e-01  2.074681e-01  2.576496e-03
            87  2.044213e-01  2.074330e-01  2.547119e-03
            88  2.220053e-01  2.075986e-01  2.523552e-03
            89  2.209867e-01  2.077491e-01  2.499677e-03
            90  1.922587e-01  2.075769e-01  2.477821e-03
            91  2.137787e-01  2.076451e-01  2.451529e-03
            92  2.616613e-01  2.082322e-01  2.494200e-03
            93  1.936213e-01  2.080751e-01  2.472323e-03
            94  1.805947e-01  2.077828e-01  2.463246e-03
            95  2.334800e-01  2.080533e-01  2.452124e-03
            96  1.788320e-01  2.077489e-01  2.445400e-03
            97  1.702160e-01  2.073620e-01  2.450611e-03
            98  1.912267e-01  2.071973e-01  2.431130e-03
            99  2.079920e-01  2.072053e-01  2.406586e-03
           100  2.065600e-01  2.071989e-01  2.382529e-03
