#   N_BLOCK:  ACCEPTANCE:
             1  2.878760e-01
             2  2.853487e-01
             3  2.862107e-01
             4  2.859493e-01
             5  2.855024e-01
             6  2.856369e-01
             7  2.859160e-01
             8  2.862267e-01
             9  2.863150e-01
            10  2.862833e-01
            11  2.864720e-01
            12  2.864268e-01
            13  2.864475e-01
            14  2.861726e-01
            15  2.860828e-01
            16  2.861587e-01
            17  2.861433e-01
            18  2.861984e-01
            19  2.860250e-01
            20  2.858495e-01
            21  2.858789e-01
            22  2.857346e-01
            23  2.856057e-01
            24  2.856659e-01
            25  2.856363e-01
            26  2.856014e-01
            27  2.856491e-01
            28  2.856299e-01
            29  2.855755e-01
            30  2.856670e-01
            31  2.856889e-01
            32  2.856879e-01
            33  2.855773e-01
            34  2.855770e-01
            35  2.854885e-01
            36  2.854960e-01
            37  2.854235e-01
            38  2.854472e-01
            39  2.854634e-01
            40  2.854193e-01
            41  2.853994e-01
            42  2.853857e-01
            43  2.854024e-01
            44  2.853384e-01
            45  2.853529e-01
            46  2.853290e-01
            47  2.853307e-01
            48  2.853436e-01
            49  2.853258e-01
            50  2.853081e-01
            51  2.852496e-01
            52  2.852688e-01
            53  2.852691e-01
            54  2.852384e-01
            55  2.852797e-01
            56  2.852166e-01
            57  2.852380e-01
            58  2.852370e-01
            59  2.852693e-01
            60  2.852325e-01
            61  2.852830e-01
            62  2.852966e-01
            63  2.852610e-01
            64  2.853010e-01
            65  2.853381e-01
            66  2.853003e-01
            67  2.852726e-01
            68  2.853146e-01
            69  2.853032e-01
            70  2.852952e-01
            71  2.853088e-01
            72  2.853397e-01
            73  2.853107e-01
            74  2.853352e-01
            75  2.853114e-01
            76  2.853022e-01
            77  2.853309e-01
            78  2.853479e-01
            79  2.853391e-01
            80  2.853648e-01
            81  2.853887e-01
            82  2.853678e-01
            83  2.853489e-01
            84  2.853265e-01
            85  2.853588e-01
            86  2.853450e-01
            87  2.853825e-01
            88  2.853799e-01
            89  2.853529e-01
            90  2.853617e-01
            91  2.853345e-01
            92  2.853127e-01
            93  2.853218e-01
            94  2.853314e-01
            95  2.853179e-01
            96  2.853305e-01
            97  2.853319e-01
            98  2.853441e-01
            99  2.853618e-01
           100  2.853828e-01
