#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             1  1.596566e+00  1.596566e+00  0.000000e+00
             2  1.602114e+00  1.599340e+00  1.961264e-03
             3  1.606937e+00  1.601872e+00  2.446398e-03
             4  1.593758e+00  1.599844e+00  2.540257e-03
             5  1.583503e+00  1.596576e+00  3.560130e-03
             6  1.539634e+00  1.587085e+00  9.157265e-03
             7  1.611132e+00  1.590521e+00  8.468966e-03
             8  1.571380e+00  1.588128e+00  7.740917e-03
             9  1.635962e+00  1.593443e+00  8.512038e-03
            10  1.612742e+00  1.595373e+00  7.876577e-03
            11  1.601697e+00  1.595948e+00  7.181474e-03
            12  1.622047e+00  1.598123e+00  6.904520e-03
            13  1.624508e+00  1.600152e+00  6.665051e-03
            14  1.555709e+00  1.596978e+00  6.903723e-03
            15  1.602959e+00  1.597377e+00  6.454980e-03
            16  1.583523e+00  1.596511e+00  6.109337e-03
            17  1.565523e+00  1.594688e+00  6.015744e-03
            18  1.612282e+00  1.595665e+00  5.760395e-03
            19  1.555017e+00  1.593526e+00  5.841008e-03
            20  1.626940e+00  1.595197e+00  5.782963e-03
            21  1.552385e+00  1.593158e+00  5.855912e-03
            22  1.638211e+00  1.595206e+00  5.937031e-03
            23  1.631327e+00  1.596776e+00  5.882943e-03
            24  1.640820e+00  1.598611e+00  5.917136e-03
            25  1.532729e+00  1.595976e+00  6.239755e-03
            26  1.673047e+00  1.598940e+00  6.666789e-03
            27  1.584953e+00  1.598422e+00  6.439966e-03
            28  1.568656e+00  1.597359e+00  6.297101e-03
            29  1.573086e+00  1.596522e+00  6.135336e-03
            30  1.710506e+00  1.600322e+00  7.009230e-03
            31  1.542822e+00  1.598467e+00  7.024260e-03
            32  1.612667e+00  1.598911e+00  6.818754e-03
            33  1.655525e+00  1.600626e+00  6.824533e-03
            34  1.576960e+00  1.599930e+00  6.659215e-03
            35  1.658884e+00  1.601615e+00  6.678579e-03
            36  1.606645e+00  1.601754e+00  6.494525e-03
            37  1.634352e+00  1.602635e+00  6.378475e-03
            38  1.595237e+00  1.602441e+00  6.213591e-03
            39  1.581253e+00  1.601897e+00  6.077971e-03
            40  1.624010e+00  1.602450e+00  5.951110e-03
            41  1.572854e+00  1.601728e+00  5.849576e-03
            42  1.577046e+00  1.601141e+00  5.739744e-03
            43  1.584924e+00  1.600764e+00  5.618637e-03
            44  1.556887e+00  1.599766e+00  5.578730e-03
            45  1.588326e+00  1.599512e+00  5.460547e-03
            46  1.703314e+00  1.601769e+00  5.789355e-03
            47  1.597099e+00  1.601669e+00  5.667030e-03
            48  1.705346e+00  1.603829e+00  5.946358e-03
            49  1.588897e+00  1.603525e+00  5.832807e-03
            50  1.558584e+00  1.602626e+00  5.784990e-03
            51  1.546253e+00  1.601520e+00  5.776195e-03
            52  1.630643e+00  1.602080e+00  5.692201e-03
            53  1.629248e+00  1.602593e+00  5.607833e-03
            54  1.662416e+00  1.603701e+00  5.612344e-03
            55  1.665960e+00  1.604833e+00  5.623299e-03
            56  1.562069e+00  1.604069e+00  5.574491e-03
            57  1.611792e+00  1.604205e+00  5.478340e-03
            58  1.596514e+00  1.604072e+00  5.385490e-03
            59  1.582296e+00  1.603703e+00  5.306843e-03
            60  1.682946e+00  1.605024e+00  5.380230e-03
            61  1.634595e+00  1.605508e+00  5.313825e-03
            62  1.627212e+00  1.605859e+00  5.239636e-03
            63  1.671130e+00  1.606895e+00  5.257903e-03
            64  1.605718e+00  1.606876e+00  5.175780e-03
            65  1.603544e+00  1.606825e+00  5.096407e-03
            66  1.647537e+00  1.607442e+00  5.056381e-03
            67  1.673111e+00  1.608422e+00  5.075019e-03
            68  1.658730e+00  1.609162e+00  5.054024e-03
            69  1.559933e+00  1.608448e+00  5.030884e-03
            70  1.587938e+00  1.608155e+00  4.967539e-03
            71  1.636280e+00  1.608551e+00  4.913342e-03
            72  1.645945e+00  1.609071e+00  4.872473e-03
            73  1.592171e+00  1.608839e+00  4.811223e-03
            74  1.622852e+00  1.609029e+00  4.749931e-03
            75  1.558601e+00  1.608356e+00  4.733948e-03
            76  1.616289e+00  1.608461e+00  4.672810e-03
            77  1.630574e+00  1.608748e+00  4.620940e-03
            78  1.533291e+00  1.607780e+00  4.661861e-03
            79  1.542335e+00  1.606952e+00  4.675876e-03
            80  1.582794e+00  1.606650e+00  4.627169e-03
            81  1.670687e+00  1.607441e+00  4.637090e-03
            82  1.617276e+00  1.607561e+00  4.582091e-03
            83  1.604638e+00  1.607525e+00  4.527021e-03
            84  1.634118e+00  1.607842e+00  4.484183e-03
            85  1.693065e+00  1.608845e+00  4.542133e-03
            86  1.672894e+00  1.609589e+00  4.549966e-03
            87  1.635840e+00  1.609891e+00  4.507661e-03
            88  1.594062e+00  1.609711e+00  4.460025e-03
            89  1.622039e+00  1.609850e+00  4.412063e-03
            90  1.618616e+00  1.609947e+00  4.364115e-03
            91  1.597339e+00  1.609809e+00  4.318357e-03
            92  1.588494e+00  1.609577e+00  4.277628e-03
            93  1.635574e+00  1.609856e+00  4.240756e-03
            94  1.594134e+00  1.609689e+00  4.198938e-03
            95  1.705928e+00  1.610702e+00  4.275198e-03
            96  1.571357e+00  1.610292e+00  4.250264e-03
            97  1.608104e+00  1.610270e+00  4.206506e-03
            98  1.615455e+00  1.610323e+00  4.163916e-03
            99  1.588083e+00  1.610098e+00  4.127911e-03
           100  1.552133e+00  1.609518e+00  4.127129e-03
