#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
             1  2.254759e-01  2.254759e-01  0.000000e+00
             2  2.235173e-01  2.244966e-01  6.924962e-04
             3  2.229317e-01  2.239750e-01  6.281179e-04
             4  2.234181e-01  2.238357e-01  4.862704e-04
             5  2.204403e-01  2.231567e-01  7.212969e-04
             6  2.207668e-01  2.227583e-01  7.025010e-04
             7  2.229184e-01  2.227812e-01  6.025158e-04
             8  2.218044e-01  2.226591e-01  5.394316e-04
             9  2.225847e-01  2.226508e-01  4.795582e-04
            10  2.272133e-01  2.231071e-01  6.112495e-04
            11  2.253476e-01  2.233108e-01  5.886411e-04
            12  2.225458e-01  2.232470e-01  5.430281e-04
            13  2.200109e-01  2.229981e-01  5.553919e-04
            14  2.195916e-01  2.227548e-01  5.665206e-04
            15  2.203572e-01  2.225949e-01  5.508390e-04
            16  2.274457e-01  2.228981e-01  5.940134e-04
            17  2.233915e-01  2.229271e-01  5.597801e-04
            18  2.213328e-01  2.228386e-01  5.356427e-04
            19  2.224525e-01  2.228182e-01  5.078363e-04
            20  2.220764e-01  2.227811e-01  4.837972e-04
            21  2.193191e-01  2.226163e-01  4.880410e-04
            22  2.205255e-01  2.225213e-01  4.750200e-04
            23  2.180310e-01  2.223260e-01  4.928560e-04
            24  2.197390e-01  2.222182e-01  4.839644e-04
            25  2.221394e-01  2.222151e-01  4.646161e-04
            26  2.233681e-01  2.222594e-01  4.488578e-04
            27  2.279211e-01  2.224691e-01  4.787142e-04
            28  2.241067e-01  2.225276e-01  4.651761e-04
            29  2.267567e-01  2.226734e-01  4.714406e-04
            30  2.229038e-01  2.226811e-01  4.557884e-04
            31  2.237024e-01  2.227141e-01  4.422746e-04
            32  2.234167e-01  2.227360e-01  4.289983e-04
            33  2.264948e-01  2.228499e-01  4.308538e-04
            34  2.245110e-01  2.228988e-01  4.209423e-04
            35  2.210301e-01  2.228454e-01  4.122874e-04
            36  2.192070e-01  2.227443e-01  4.130364e-04
            37  2.187695e-01  2.226369e-01  4.156088e-04
            38  2.224532e-01  2.226321e-01  4.046999e-04
            39  2.221072e-01  2.226186e-01  3.945466e-04
            40  2.263111e-01  2.227109e-01  3.953347e-04
            41  2.212077e-01  2.226742e-01  3.873889e-04
            42  2.227727e-01  2.226766e-01  3.781725e-04
            43  2.183377e-01  2.225757e-01  3.826026e-04
            44  2.245367e-01  2.226203e-01  3.764939e-04
            45  2.201351e-01  2.225650e-01  3.721558e-04
            46  2.264338e-01  2.226491e-01  3.734479e-04
            47  2.269297e-01  2.227402e-01  3.764441e-04
            48  2.221738e-01  2.227284e-01  3.687864e-04
            49  2.208742e-01  2.226906e-01  3.631964e-04
            50  2.194340e-01  2.226254e-01  3.617251e-04
            51  2.240927e-01  2.226542e-01  3.557747e-04
            52  2.244953e-01  2.226896e-01  3.506902e-04
            53  2.266111e-01  2.227636e-01  3.517921e-04
            54  2.210819e-01  2.227325e-01  3.466531e-04
            55  2.195169e-01  2.226740e-01  3.452452e-04
            56  2.203851e-01  2.226331e-01  3.414910e-04
            57  2.234009e-01  2.226466e-01  3.357654e-04
            58  2.178111e-01  2.225632e-01  3.401693e-04
            59  2.238779e-01  2.225855e-01  3.351327e-04
            60  2.260646e-01  2.226435e-01  3.345259e-04
            61  2.206987e-01  2.226116e-01  3.305576e-04
            62  2.229213e-01  2.226166e-01  3.252638e-04
            63  2.252008e-01  2.226576e-01  3.226769e-04
            64  2.199597e-01  2.226155e-01  3.203768e-04
            65  2.254103e-01  2.226585e-01  3.183202e-04
            66  2.168024e-01  2.225697e-01  3.256283e-04
            67  2.205116e-01  2.225390e-01  3.222138e-04
            68  2.226269e-01  2.225403e-01  3.174780e-04
            69  2.221437e-01  2.225346e-01  3.129289e-04
            70  2.236205e-01  2.225501e-01  3.088428e-04
            71  2.234751e-01  2.225631e-01  3.047676e-04
            72  2.208104e-01  2.225388e-01  3.015053e-04
            73  2.256212e-01  2.225810e-01  3.003173e-04
            74  2.216342e-01  2.225682e-01  2.965314e-04
            75  2.219357e-01  2.225598e-01  2.926976e-04
            76  2.202872e-01  2.225299e-01  2.903697e-04
            77  2.264876e-01  2.225813e-01  2.911124e-04
            78  2.234838e-01  2.225928e-01  2.876101e-04
            79  2.215760e-01  2.225800e-01  2.842573e-04
            80  2.200864e-01  2.225488e-01  2.824079e-04
            81  2.271041e-01  2.226050e-01  2.844660e-04
            82  2.192647e-01  2.225643e-01  2.838986e-04
            83  2.252805e-01  2.225970e-01  2.823581e-04
            84  2.245566e-01  2.226203e-01  2.799587e-04
            85  2.264108e-01  2.226649e-01  2.801942e-04
            86  2.266642e-01  2.227114e-01  2.807685e-04
            87  2.244020e-01  2.227309e-01  2.782129e-04
            88  2.224183e-01  2.227273e-01  2.750741e-04
            89  2.226566e-01  2.227265e-01  2.719845e-04
            90  2.260064e-01  2.227630e-01  2.713930e-04
            91  2.259437e-01  2.227979e-01  2.706522e-04
            92  2.216837e-01  2.227858e-01  2.679812e-04
            93  2.214473e-01  2.227714e-01  2.654859e-04
            94  2.215755e-01  2.227587e-01  2.629663e-04
            95  2.236553e-01  2.227681e-01  2.603675e-04
            96  2.208395e-01  2.227480e-01  2.584293e-04
            97  2.216057e-01  2.227363e-01  2.560332e-04
            98  2.238521e-01  2.227477e-01  2.536737e-04
            99  2.246395e-01  2.227668e-01  2.518301e-04
           100  2.222180e-01  2.227613e-01  2.493716e-04
