#   N_BLOCK:  ACCEPTANCE:
             1  3.786133e-02
             2  3.838867e-02
             3  3.881956e-02
             4  4.071033e-02
             5  4.090640e-02
             6  4.065778e-02
             7  4.038590e-02
             8  3.974800e-02
             9  4.000415e-02
            10  3.999013e-02
            11  3.948545e-02
            12  3.936911e-02
            13  3.951179e-02
            14  3.924000e-02
            15  3.950969e-02
            16  3.954300e-02
            17  3.947090e-02
            18  3.942489e-02
            19  3.965937e-02
            20  3.966367e-02
            21  3.980197e-02
            22  3.964364e-02
            23  3.969728e-02
            24  3.982711e-02
            25  3.958432e-02
            26  3.955133e-02
            27  3.954449e-02
            28  3.950543e-02
            29  3.940736e-02
            30  3.940933e-02
            31  3.951574e-02
            32  3.926483e-02
            33  3.931665e-02
            34  3.929804e-02
            35  3.921250e-02
            36  3.948133e-02
            37  3.950789e-02
            38  3.950796e-02
            39  3.941443e-02
            40  3.940100e-02
            41  3.942475e-02
            42  3.955206e-02
            43  3.937166e-02
            44  3.922115e-02
            45  3.928942e-02
            46  3.914872e-02
            47  3.912079e-02
            48  3.907122e-02
            49  3.895309e-02
            50  3.876843e-02
            51  3.875197e-02
            52  3.875723e-02
            53  3.871849e-02
            54  3.883153e-02
            55  3.887319e-02
            56  3.881852e-02
            57  3.887261e-02
            58  3.881414e-02
            59  3.881121e-02
            60  3.876862e-02
            61  3.873574e-02
            62  3.880243e-02
            63  3.895170e-02
            64  3.888404e-02
            65  3.886306e-02
            66  3.891604e-02
            67  3.892999e-02
            68  3.889824e-02
            69  3.880754e-02
            70  3.869790e-02
            71  3.872002e-02
            72  3.866485e-02
            73  3.865235e-02
            74  3.862968e-02
            75  3.856123e-02
            76  3.855530e-02
            77  3.848907e-02
            78  3.857785e-02
            79  3.852150e-02
            80  3.851855e-02
            81  3.850703e-02
            82  3.849236e-02
            83  3.852612e-02
            84  3.858543e-02
            85  3.859216e-02
            86  3.855975e-02
            87  3.849810e-02
            88  3.846559e-02
            89  3.843062e-02
            90  3.845671e-02
            91  3.850145e-02
            92  3.846743e-02
            93  3.844645e-02
            94  3.841240e-02
            95  3.835618e-02
            96  3.830619e-02
            97  3.836709e-02
            98  3.833668e-02
            99  3.835762e-02
           100  3.835380e-02
