#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             1 -3.976000e-03 -3.976000e-03  0.000000e+00
             2  1.202667e-03 -1.386667e-03  1.830935e-03
             3 -5.069333e-03 -2.614222e-03  1.579404e-03
             4  3.778667e-03 -1.016000e-03  1.821785e-03
             5  8.373333e-03  8.618667e-04  2.223781e-03
             6 -4.872000e-03 -9.377778e-05  2.048223e-03
             7 -1.738667e-03 -3.287619e-04  1.769047e-03
             8  7.240000e-03  6.173333e-04  1.783046e-03
             9  7.973333e-04  6.373333e-04  1.585042e-03
            10 -8.498667e-03 -2.762667e-04  1.669194e-03
            11 -6.544000e-03 -8.460606e-04  1.611770e-03
            12  5.706667e-03 -3.000000e-04  1.567230e-03
            13  1.586667e-03 -1.548718e-04  1.453378e-03
            14 -5.528000e-03 -5.386667e-04  1.399322e-03
            15 -4.800000e-04 -5.347556e-04  1.306040e-03
            16 -6.160000e-04 -5.398333e-04  1.224422e-03
            17  1.397333e-03 -4.258824e-04  1.157688e-03
            18  3.474667e-03 -2.091852e-04  1.113468e-03
            19  5.066667e-04 -1.715088e-04  1.055501e-03
            20 -1.058667e-03 -2.158667e-04  1.003658e-03
            21  4.218667e-03 -4.698413e-06  9.778271e-04
            22  1.805333e-03  7.757576e-05  9.368353e-04
            23 -1.778667e-03 -3.130435e-06  8.995729e-04
            24  8.754667e-03  3.617778e-04  9.331721e-04
            25 -3.226667e-04  3.344000e-04  8.962467e-04
            26 -2.365333e-03  2.305641e-04  8.677699e-04
            27  9.664000e-03  5.799506e-04  9.032318e-04
            28  1.349333e-03  6.074286e-04  8.713914e-04
            29 -2.296000e-03  5.073103e-04  8.470754e-04
            30  8.320000e-03  7.677333e-04  8.579381e-04
            31  3.058667e-03  8.416344e-04  8.334394e-04
            32  4.186667e-04  8.284167e-04  8.074992e-04
            33 -1.128000e-03  7.691313e-04  7.852029e-04
            34 -3.426667e-03  6.457255e-04  7.717452e-04
            35  3.098667e-03  7.158095e-04  7.528709e-04
            36 -3.397333e-03  6.015556e-04  7.405765e-04
            37  7.925333e-03  7.994955e-04  7.465450e-04
            38 -7.093333e-04  7.597895e-04  7.279542e-04
            39  3.712000e-03  8.354872e-04  7.132136e-04
            40  5.818667e-03  9.600667e-04  7.061798e-04
            41 -2.018667e-03  8.874146e-04  6.926831e-04
            42  4.005333e-03  9.616508e-04  6.801570e-04
            43  5.488000e-03  1.066915e-03  6.724356e-04
            44  8.741333e-03  1.241333e-03  6.793972e-04
            45 -3.613333e-03  1.133452e-03  6.728102e-04
            46 -6.426667e-04  1.094841e-03  6.592908e-04
            47 -6.194667e-03  9.397447e-04  6.632554e-04
            48 -3.192000e-03  8.536667e-04  6.549994e-04
            49 -6.117333e-03  7.114014e-04  6.569004e-04
            50 -2.240000e-04  6.926933e-04  6.440287e-04
            51 -1.888000e-03  6.420915e-04  6.333855e-04
            52  1.386667e-04  6.324103e-04  6.212790e-04
            53 -2.170667e-03  5.795220e-04  6.118037e-04
            54  3.981333e-03  6.425185e-04  6.037087e-04
            55 -4.005333e-03  5.580121e-04  5.986175e-04
            56 -1.184000e-03  5.269048e-04  5.887356e-04
            57  6.181333e-03  6.261053e-04  5.867049e-04
            58  5.264000e-03  7.060690e-04  5.820130e-04
            59 -5.256000e-03  6.050169e-04  5.808547e-04
            60 -4.274667e-03  5.236889e-04  5.768393e-04
            61 -1.680000e-04  5.123497e-04  5.674943e-04
            62  2.352000e-03  5.420215e-04  5.591163e-04
            63 -2.810667e-03  4.888042e-04  5.527683e-04
            64  2.880000e-04  4.856667e-04  5.441402e-04
            65 -8.666667e-04  4.648615e-04  5.361664e-04
            66  7.469333e-03  5.709899e-04  5.384437e-04
            67  3.080000e-03  6.084378e-04  5.317079e-04
            68  4.792000e-03  6.699608e-04  5.274360e-04
            69  5.325333e-03  7.374300e-04  5.240895e-04
            70  4.266667e-05  7.275048e-04  5.166965e-04
            71  4.029333e-03  7.740094e-04  5.115076e-04
            72 -1.994667e-03  7.355556e-04  5.058467e-04
            73  6.253333e-03  8.111416e-04  5.045329e-04
            74 -8.693333e-04  7.884324e-04  4.982257e-04
            75 -4.405333e-03  7.191822e-04  4.963720e-04
            76  1.293333e-03  7.267368e-04  4.898983e-04
            77  3.685333e-03  7.651602e-04  4.850404e-04
            78  5.789333e-03  8.295726e-04  4.830800e-04
            79 -9.776000e-03  6.953249e-04  4.952676e-04
            80  3.026667e-03  7.244667e-04  4.899333e-04
            81  7.245333e-03  8.049712e-04  4.904543e-04
            82  9.562667e-03  9.117724e-04  4.959654e-04
            83 -8.264000e-03  8.012209e-04  5.021598e-04
            84  7.226667e-03  8.777143e-04  5.019740e-04
            85 -3.205333e-03  8.296784e-04  4.983615e-04
            86  4.272000e-03  8.697054e-04  4.941714e-04
            87  4.242667e-03  9.084751e-04  4.900097e-04
            88  3.485333e-03  9.377576e-04  4.853156e-04
            89 -1.645333e-03  9.087341e-04  4.807297e-04
            90 -4.304000e-03  8.508148e-04  4.788646e-04
            91  2.080000e-04  8.437509e-04  4.736545e-04
            92 -3.453333e-03  7.970435e-04  4.708033e-04
            93  3.840000e-04  7.926022e-04  4.657619e-04
            94 -3.533333e-03  7.465816e-04  4.630750e-04
            95  4.640000e-04  7.436070e-04  4.582101e-04
            96 -5.912000e-03  6.742778e-04  4.586520e-04
            97 -7.784000e-03  5.870790e-04  4.621384e-04
            98 -6.197333e-03  5.178503e-04  4.625789e-04
            99  3.354667e-03  5.465051e-04  4.587930e-04
           100 -9.680000e-04  5.313600e-04  4.544550e-04
