mu sigma
0.842688 0.622667
0.864099 0.665793
0.885625 0.638708
0.885625 0.638708
0.913922 0.662511
0.913922 0.662511
0.911489 0.656858
0.911489 0.656858
0.863362 0.662663
0.863362 0.662663
0.863362 0.662663
0.911207 0.626575
0.911207 0.626575
0.8765 0.596347
0.8765 0.596347
0.8765 0.596347
0.8765 0.596347
0.8765 0.596347
0.8765 0.596347
0.860171 0.565514
0.860171 0.565514
0.853863 0.550564
0.817609 0.563833
0.817609 0.563833
0.772228 0.612194
0.804246 0.579172
0.840066 0.615619
0.854893 0.646888
0.854893 0.646888
0.850948 0.587615
0.850948 0.587615
0.850948 0.587615
0.850948 0.587615
0.813162 0.620884
0.772396 0.642279
0.767778 0.676923
0.767778 0.676923
0.795683 0.672918
0.789074 0.630798
0.749491 0.617909
0.796748 0.575759
0.796748 0.575759
0.811362 0.555366
0.828201 0.541558
0.828201 0.541558
0.7915 0.53144
0.7915 0.53144
0.811618 0.565271
0.811618 0.565271
0.811618 0.565271
0.801225 0.603698
0.821235 0.592672
0.821235 0.592672
0.849001 0.620687
0.808341 0.664609
0.781805 0.66656
0.817369 0.63217
0.809525 0.657107
0.773044 0.642045
0.773044 0.642045
0.773044 0.642045
0.773044 0.642045
0.749526 0.616518
0.749526 0.616518
0.749526 0.616518
0.725685 0.608561
0.751363 0.63761
0.750488 0.600986
0.773162 0.613453
0.758099 0.631664
0.75009 0.653472
0.783689 0.654152
0.775913 0.668356
0.731738 0.690904
0.702511 0.649871
0.712093 0.673709
0.712093 0.673709
0.664738 0.685975
0.67631 0.661721
0.67631 0.661721
0.692438 0.629685
0.681971 0.68648
0.67296 0.6851
0.717406 0.727201
0.746423 0.704237
0.79328 0.712941
0.754416 0.734739
0.751081 0.757477
0.768668 0.741169
0.810637 0.711727
0.810637 0.711727
0.810637 0.711727
0.810637 0.711727
0.86033 0.680301
0.911528 0.622783
0.88962 0.66801
0.826944 0.676003
0.88844 0.628163
0.897847 0.578712
0.897847 0.578712
