mu sigma
0.805242 0.588321
0.774305 0.607542
0.818449 0.562655
0.867171 0.623684
0.867171 0.623684
0.867171 0.623684
0.847845 0.661763
0.808028 0.722062
0.808028 0.722062
0.839682 0.688771
0.839682 0.688771
0.839682 0.688771
0.839682 0.688771
0.838521 0.654982
0.838521 0.654982
0.860963 0.609929
0.82866 0.604268
0.82866 0.604268
0.769586 0.648744
0.715472 0.643073
0.693389 0.587601
0.693389 0.587601
0.693389 0.587601
0.693389 0.587601
0.728174 0.569038
0.723363 0.586602
0.754727 0.557284
0.748158 0.553013
0.699416 0.562152
0.754143 0.609168
0.721718 0.671434
0.773585 0.640457
0.78282 0.588547
0.764858 0.544022
0.795506 0.571827
0.76932 0.617529
0.733271 0.634692
0.733271 0.634692
0.75339 0.613169
0.75339 0.613169
0.703324 0.629914
0.703324 0.629914
0.703324 0.629914
0.753317 0.627869
0.745135 0.638723
0.739404 0.696111
0.739404 0.696111
0.745521 0.668664
0.745521 0.668664
0.816537 0.622154
0.816537 0.622154
0.816537 0.622154
0.850673 0.599552
0.822666 0.599645
0.785735 0.637903
0.785735 0.637903
0.774467 0.607012
0.796628 0.574714
0.796628 0.574714
0.844319 0.648297
0.844319 0.648297
0.817079 0.584817
0.817079 0.584817
0.847551 0.548625
0.847551 0.548625
0.847551 0.548625
0.786398 0.558479
0.782649 0.561245
0.730769 0.582609
0.668467 0.620733
0.668467 0.620733
0.656823 0.680349
0.715625 0.656308
0.680915 0.690786
0.680915 0.690786
0.734109 0.746469
0.734109 0.746469
0.692888 0.772692
0.73438 0.763654
0.73438 0.763654
0.754203 0.750305
0.754203 0.750305
0.754203 0.750305
0.754203 0.750305
0.696166 0.739384
0.664944 0.76597
0.666268 0.7063
0.666268 0.7063
0.703431 0.768109
0.703431 0.768109
0.710665 0.727832
0.710665 0.727832
0.710665 0.727832
0.710665 0.727832
0.72295 0.7657
0.790702 0.700648
0.811477 0.683446
0.877851 0.646203
0.816201 0.597511
0.743191 0.59128
