mu sigma
0.8298 0.650468
0.8298 0.650468
0.8298 0.650468
0.8298 0.650468
0.8298 0.650468
0.8298 0.650468
0.820166 0.651199
0.820166 0.651199
0.814904 0.637587
0.818456 0.630666
0.833322 0.627032
0.823059 0.620976
0.822852 0.62703
0.828213 0.619942
0.82181 0.621431
0.82181 0.621431
0.82181 0.621431
0.82181 0.621431
0.82181 0.621431
0.82181 0.621431
0.830343 0.608542
0.830644 0.619491
0.819873 0.60653
0.819873 0.60653
0.819873 0.60653
0.819873 0.60653
0.819873 0.60653
0.819873 0.60653
0.819873 0.60653
0.816799 0.601884
0.823109 0.591863
0.823109 0.591863
0.823109 0.591863
0.823109 0.591863
0.823109 0.591863
0.823109 0.591863
0.835336 0.588625
0.835336 0.588625
0.825149 0.59575
0.825149 0.59575
0.826489 0.586349
0.82952 0.577088
0.82952 0.577088
0.824669 0.569314
0.824669 0.569314
0.812848 0.574114
0.812848 0.574114
0.809887 0.578661
0.80971 0.56766
0.80971 0.56766
0.810066 0.576162
0.817229 0.575504
0.819845 0.574224
0.811033 0.576866
0.811033 0.576866
0.804175 0.58568
0.798429 0.592853
0.802297 0.586176
0.803029 0.579614
0.793634 0.571285
0.79291 0.571238
0.786957 0.563093
0.786957 0.563093
0.7967 0.559791
0.804502 0.555026
0.801868 0.564269
0.801868 0.564269
0.801868 0.564269
0.801868 0.564269
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.797264 0.562764
0.791865 0.562831
0.801002 0.571481
0.800932 0.579647
0.802877 0.575505
0.802877 0.575505
0.808214 0.57309
0.804034 0.576794
0.795932 0.574966
0.797816 0.566361
0.797816 0.566361
0.797816 0.566361
0.797816 0.566361
