mu sigma
0 1
0.122649 0.768552
0.805894 0.593815
0.805894 0.593815
0.36278 0.861817
0.615409 0.849173
0.615409 0.849173
0.615409 0.849173
0.615409 0.849173
0.615409 0.849173
0.615409 0.849173
0.615409 0.849173
0.615409 0.849173
0.615409 0.849173
0.615409 0.849173
0.615409 0.849173
0.700669 0.66834
0.700669 0.66834
0.700669 0.66834
0.700669 0.66834
0.700669 0.66834
1.0201 0.610144
0.72872 0.881489
0.456187 0.959019
0.456187 0.959019
0.456187 0.959019
0.385698 0.937874
0.385698 0.937874
0.385698 0.937874
0.0104294 1.1263
0.769275 1.10597
0.769275 1.10597
0.584024 0.843285
0.376205 1.0105
0.313558 1.03512
0.2938 0.883003
0.2938 0.883003
0.2938 0.883003
0.258406 0.823531
0.258406 0.823531
0.258406 0.823531
0.75197 0.915494
0.50917 1.15235
0.50917 1.15235
0.311501 0.817534
0.267759 0.681337
0.707059 0.659085
0.707059 0.659085
0.707059 0.659085
0.707059 0.659085
0.707059 0.659085
0.707059 0.659085
0.881721 0.45796
0.881721 0.45796
0.881721 0.45796
0.881721 0.45796
0.881721 0.45796
0.881721 0.45796
0.881721 0.45796
0.80923 0.722221
1.08572 0.716603
1.08572 0.716603
0.81372 0.829348
0.757625 0.836515
0.757625 0.836515
0.757625 0.836515
0.938376 0.812743
0.955288 0.567535
0.955288 0.567535
0.955288 0.567535
0.722162 0.518968
1.00776 0.59057
1.00776 0.59057
1.00776 0.59057
1.00776 0.59057
1.00776 0.59057
0.782982 0.473025
0.782982 0.473025
0.813616 0.522338
0.813616 0.522338
0.813616 0.522338
0.813616 0.522338
0.813616 0.522338
0.747645 0.757262
0.788759 0.82556
0.630658 0.875105
0.630658 0.875105
0.460016 0.818396
0.564851 0.767507
0.650601 0.57255
0.650601 0.57255
0.650601 0.57255
0.863182 0.544335
0.99962 0.457825
1.03267 0.48627
0.861485 0.511039
0.861485 0.511039
0.615209 0.453622
0.775222 0.654518
0.775222 0.654518
