mu sigma
0.837659 0.592777
0.841436 0.603153
0.792581 0.627667
0.813406 0.626029
0.813927 0.620138
0.813927 0.620138
0.813927 0.620138
0.774526 0.59984
0.821537 0.609854
0.786129 0.611963
0.813675 0.588315
0.846546 0.602749
0.846546 0.602749
0.846546 0.602749
0.846546 0.602749
0.846546 0.602749
0.846546 0.602749
0.838236 0.601627
0.838236 0.601627
0.838236 0.601627
0.838236 0.601627
0.838236 0.601627
0.838236 0.601627
0.830794 0.635844
0.830794 0.635844
0.830794 0.635844
0.788116 0.665763
0.738308 0.657575
0.716412 0.677459
0.716412 0.677459
0.716412 0.677459
0.716412 0.677459
0.701962 0.691027
0.701962 0.691027
0.701962 0.691027
0.701962 0.691027
0.701962 0.691027
0.701962 0.691027
0.701962 0.691027
0.6898 0.673205
0.723698 0.681374
0.723698 0.681374
0.723698 0.681374
0.718158 0.662128
0.714322 0.66581
0.69667 0.64229
0.728104 0.642791
0.728104 0.642791
0.722413 0.645195
0.69753 0.668547
0.735995 0.693409
0.768247 0.659028
0.735694 0.623396
0.748708 0.629003
0.748708 0.629003
0.760046 0.605428
0.723177 0.611396
0.749117 0.601649
0.753568 0.583381
0.726211 0.580566
0.726211 0.580566
0.745192 0.616809
0.723694 0.644794
0.697935 0.64047
0.697935 0.64047
0.696711 0.605502
0.708855 0.569753
0.708855 0.569753
0.708855 0.569753
0.740275 0.568562
0.718118 0.612489
0.751381 0.652473
0.751381 0.652473
0.713065 0.680042
0.742165 0.673376
0.742165 0.673376
0.749469 0.641213
0.749469 0.641213
0.749469 0.641213
0.782104 0.619208
0.78945 0.60581
0.78945 0.60581
0.752917 0.583345
0.738932 0.617617
0.779276 0.57618
0.781131 0.593594
0.82226 0.573409
0.782463 0.601581
0.782463 0.601581
0.802236 0.580586
0.774796 0.623544
0.774796 0.623544
0.774796 0.623544
0.744295 0.612082
0.744295 0.612082
0.756871 0.600811
0.790075 0.616152
0.83199 0.630471
0.821466 0.657352
0.821466 0.657352
