mu sigma
0.592011 0.989724
0.592011 0.989724
0.592011 0.989724
0.592011 0.989724
0.592011 0.989724
0.398236 0.863095
0.416373 0.812481
0.481018 1.01641
0.562325 0.921429
0.562325 0.921429
0.562325 0.921429
0.562325 0.921429
0.562325 0.921429
0.562325 0.921429
0.562325 0.921429
0.562325 0.921429
0.550302 0.736826
0.725166 0.779295
0.725166 0.779295
0.753435 0.884154
0.90031 0.87022
1.01749 0.649058
1.01749 0.649058
1.01749 0.649058
1.01749 0.649058
1.01749 0.649058
0.821866 0.688347
0.790131 0.620587
0.790131 0.620587
0.912001 0.656906
0.724609 0.672385
0.874766 0.564131
0.874766 0.564131
0.937946 0.751657
0.838515 0.650964
0.838515 0.650964
0.727159 0.741624
0.911903 0.613867
0.968925 0.568421
0.849685 0.620445
0.849685 0.620445
0.850674 0.699501
0.850674 0.699501
0.850674 0.699501
0.765691 0.782834
0.701006 0.620323
0.701006 0.620323
0.701006 0.620323
0.701006 0.620323
0.701006 0.620323
0.735332 0.704402
0.712324 0.689523
0.712324 0.689523
0.712324 0.689523
0.712324 0.689523
0.712324 0.689523
0.538381 0.532507
0.740829 0.678555
0.744972 0.836991
0.550767 0.756344
0.550767 0.756344
0.463598 0.780874
0.466673 0.767539
0.658344 0.737046
0.658344 0.737046
0.615611 0.608689
0.615611 0.608689
0.757608 0.576226
0.757608 0.576226
0.757608 0.576226
0.757608 0.576226
0.757608 0.576226
0.757608 0.576226
0.757608 0.576226
0.757608 0.576226
0.757608 0.576226
0.75126 0.613865
0.765853 0.587014
0.765853 0.587014
0.765853 0.587014
0.765853 0.587014
0.806049 0.494548
0.806049 0.494548
0.604001 0.665723
0.728937 0.532686
0.728937 0.532686
0.790264 0.539736
0.790264 0.539736
0.790264 0.539736
0.907588 0.550845
0.907588 0.550845
0.907588 0.550845
0.907588 0.550845
0.907588 0.550845
0.907588 0.550845
0.93205 0.594953
0.788461 0.689332
0.810849 0.721762
0.810849 0.721762
0.84442 0.567361
