mu sigma
0.797816 0.566361
0.797816 0.566361
0.797816 0.566361
0.797816 0.566361
0.796617 0.559823
0.801123 0.560601
0.793838 0.560076
0.793838 0.560076
0.793838 0.560076
0.793838 0.560076
0.798624 0.564691
0.800179 0.566158
0.803565 0.562313
0.807604 0.560809
0.815458 0.558249
0.819146 0.554377
0.819146 0.554377
0.819146 0.554377
0.819146 0.554377
0.819146 0.554377
0.81594 0.559049
0.820533 0.566851
0.816654 0.559495
0.823648 0.551515
0.829346 0.559934
0.829346 0.559934
0.832193 0.559293
0.831373 0.558224
0.836541 0.565932
0.841987 0.568084
0.848652 0.567109
0.854543 0.569871
0.860934 0.578026
0.869284 0.585895
0.870817 0.590532
0.870817 0.590532
0.870817 0.590532
0.870817 0.590532
0.870817 0.590532
0.870817 0.590532
0.87388 0.59271
0.868913 0.59514
0.868913 0.59514
0.868913 0.59514
0.865322 0.586395
0.860022 0.580241
0.861169 0.587789
0.861169 0.587789
0.853794 0.594635
0.858209 0.599342
0.86187 0.590305
0.8684 0.583443
0.8684 0.583443
0.8684 0.583443
0.8684 0.583443
0.858199 0.582485
0.863088 0.589635
0.863088 0.589635
0.871307 0.593778
0.871307 0.593778
0.861482 0.598376
0.862753 0.595973
0.868362 0.599119
0.873869 0.604843
0.868144 0.605213
0.877377 0.595325
0.881368 0.605426
0.871457 0.608911
0.867643 0.611073
0.867643 0.611073
0.868194 0.621331
0.868194 0.621331
0.859772 0.632376
0.859772 0.632376
0.852187 0.631087
0.843418 0.622923
0.854501 0.62038
0.854501 0.62038
0.856745 0.60923
0.865248 0.614501
0.865248 0.614501
0.865248 0.614501
0.865248 0.614501
0.869658 0.613182
0.871486 0.623768
0.871486 0.623768
0.860339 0.634855
0.855015 0.645811
0.861052 0.634399
0.859698 0.635243
0.865878 0.628598
0.865878 0.628598
0.862494 0.62318
0.862494 0.62318
0.86842 0.610922
0.86842 0.610922
0.86842 0.610922
0.875825 0.622825
0.875825 0.622825
0.873987 0.623979
