mu sigma
0.734541 0.619852
0.690477 0.659362
0.67408 0.642613
0.674551 0.601436
0.674526 0.574873
0.674526 0.574873
0.674131 0.569161
0.674131 0.569161
0.674131 0.569161
0.697411 0.543178
0.67705 0.565782
0.6982 0.576553
0.6982 0.576553
0.657929 0.590645
0.674376 0.556119
0.664178 0.535617
0.664178 0.535617
0.664178 0.535617
0.664178 0.535617
0.664178 0.535617
0.664178 0.535617
0.663156 0.558863
0.712259 0.565253
0.689532 0.602239
0.689532 0.602239
0.731354 0.647173
0.711828 0.632323
0.698967 0.594072
0.656035 0.595225
0.663546 0.630222
0.684826 0.650089
0.715526 0.636559
0.761476 0.681754
0.761476 0.681754
0.79156 0.707352
0.79156 0.707352
0.794839 0.661953
0.778245 0.616161
0.778245 0.616161
0.812706 0.568329
0.840665 0.591083
0.840665 0.591083
0.825754 0.575417
0.825754 0.575417
0.804879 0.62333
0.825611 0.672057
0.80168 0.705761
0.8567 0.662576
0.887764 0.685615
0.8869 0.62886
0.8869 0.62886
0.879238 0.603516
0.879238 0.603516
0.824325 0.616611
0.808932 0.610976
0.808932 0.610976
0.808932 0.610976
0.808932 0.610976
0.846282 0.583082
0.815391 0.610539
0.815391 0.610539
0.776265 0.619298
0.776265 0.619298
0.771783 0.582794
0.771783 0.582794
0.771783 0.582794
0.752261 0.618469
0.752261 0.618469
0.7437 0.563577
0.776907 0.549297
0.780699 0.584032
0.780699 0.584032
0.78025 0.626635
0.78025 0.626635
0.738715 0.60579
0.753713 0.633334
0.729571 0.67601
0.729571 0.67601
0.712827 0.619975
0.712827 0.619975
0.723676 0.665276
0.738016 0.63795
0.785119 0.590882
0.800723 0.637034
0.820249 0.641953
0.802264 0.635601
0.849556 0.642034
0.849556 0.642034
0.849556 0.642034
0.849556 0.642034
0.881949 0.624138
0.844953 0.583838
0.798991 0.596443
0.798991 0.596443
0.798991 0.596443
0.798991 0.596443
0.775497 0.644877
0.775497 0.644877
0.775497 0.644877
0.79939 0.664671
