Energy Error Acceptance
-0.292451 0.0245144 0.534333
-0.36447 0.0169513 0.592333
-0.364605 0.0273167 0.609667
-0.375492 0.0107401 0.633667
-0.375492 0.0107401 0.633667
-0.324023 0.0161104 0.546333
-0.363345 0.0157067 0.690667
-0.363345 0.0157067 0.690667
-0.377979 0.0202634 0.546
-0.309802 0.0236614 0.57
-0.309802 0.0236614 0.57
-0.256182 0.0244543 0.516333
-0.321455 0.021216 0.574667
-0.321455 0.021216 0.574667
-0.321455 0.021216 0.574667
-0.321455 0.021216 0.574667
-0.321241 0.0229019 0.505333
-0.365131 0.0199751 0.540667
-0.365131 0.0199751 0.540667
-0.406905 0.0108628 0.641333
-0.406905 0.0108628 0.641333
-0.406905 0.0108628 0.641333
-0.438454 0.00931062 0.580333
-0.438454 0.00931062 0.580333
-0.438454 0.00931062 0.580333
-0.420767 0.0165404 0.637333
-0.420767 0.0165404 0.637333
-0.358393 0.0289386 0.584667
-0.398644 0.0173093 0.651667
-0.181464 0.0400913 0.554
-0.181464 0.0400913 0.554
-0.181464 0.0400913 0.554
-0.343166 0.0209714 0.636
-0.343166 0.0209714 0.636
-0.343166 0.0209714 0.636
-0.343166 0.0209714 0.636
-0.354624 0.0265003 0.612
-0.404431 0.0115519 0.62
-0.404431 0.0115519 0.62
-0.404431 0.0115519 0.62
-0.404431 0.0115519 0.62
-0.388964 0.0237715 0.643333
-0.391618 0.0312607 0.648667
-0.40733 0.0224321 0.560333
-0.40733 0.0224321 0.560333
-0.429317 0.0255427 0.606333
-0.429317 0.0255427 0.606333
-0.429317 0.0255427 0.606333
-0.412935 0.0198917 0.551
-0.375603 0.0145201 0.643333
-0.409238 0.0164235 0.565667
-0.419719 0.0121186 0.618333
-0.41351 0.0107051 0.662333
-0.438034 0.0251735 0.583667
-0.454778 0.0129267 0.558667
-0.44061 0.0164656 0.601333
-0.44061 0.0164656 0.601333
-0.44061 0.0164656 0.601333
-0.418307 0.0168384 0.582667
-0.418962 0.0251035 0.538667
-0.431084 0.0151928 0.671667
-0.346331 0.0219767 0.700333
-0.346331 0.0219767 0.700333
-0.346331 0.0219767 0.700333
-0.371142 0.0266057 0.615
-0.371142 0.0266057 0.615
-0.371142 0.0266057 0.615
-0.440678 0.0138898 0.561333
-0.440678 0.0138898 0.561333
-0.406763 0.0124158 0.543333
-0.421143 0.00967261 0.673333
-0.450983 0.012688 0.598333
-0.447867 0.0135006 0.532333
-0.447867 0.0135006 0.532333
-0.447867 0.0135006 0.532333
-0.388003 0.035339 0.692333
-0.420035 0.0167004 0.578667
-0.382596 0.0327475 0.553
-0.416158 0.0155267 0.645
-0.416158 0.0155267 0.645
-0.40913 0.0295699 0.537333
-0.372736 0.0292335 0.593333
-0.381896 0.0229232 0.643
-0.381896 0.0229232 0.643
-0.381896 0.0229232 0.643
-0.381896 0.0229232 0.643
-0.381896 0.0229232 0.643
-0.381896 0.0229232 0.643
-0.382486 0.010728 0.674333
-0.363249 0.0279358 0.49
-0.363249 0.0279358 0.49
-0.363249 0.0279358 0.49
-0.465251 0.0113038 0.616667
-0.447939 0.0126937 0.580667
-0.42569 0.0163928 0.589
-0.400093 0.0354109 0.58
-0.386651 0.0212934 0.664
-0.386901 0.0167185 0.536667
-0.379772 0.0278589 0.644667
-0.379772 0.0278589 0.644667
