mu sigma
0.839931 0.642196
0.74904 0.540891
0.74904 0.540891
0.832959 0.640328
0.832959 0.640328
0.832959 0.640328
0.832959 0.640328
0.820415 0.667552
0.873598 0.589192
0.873598 0.589192
0.873598 0.589192
0.873598 0.589192
0.828122 0.60969
0.783393 0.629124
0.783393 0.629124
0.824598 0.717015
0.824598 0.717015
0.827107 0.602723
0.827107 0.602723
0.916575 0.580627
0.845153 0.68627
0.894 0.641779
0.894 0.641779
0.762218 0.5114
0.762218 0.5114
0.894215 0.622471
0.894215 0.622471
0.894215 0.622471
0.894215 0.622471
0.894215 0.622471
0.894215 0.622471
0.814506 0.542461
0.701735 0.582675
0.791106 0.599897
0.83965 0.570449
0.83965 0.570449
0.771017 0.666776
0.847626 0.644369
0.847626 0.644369
0.795792 0.576598
0.795792 0.576598
0.764577 0.69743
0.68427 0.602649
0.734503 0.627131
0.734503 0.627131
0.734503 0.627131
0.816674 0.639697
0.816674 0.639697
0.80182 0.673512
0.80182 0.673512
0.80182 0.673512
0.830631 0.619178
0.830631 0.619178
0.830631 0.619178
0.832475 0.743638
0.832475 0.743638
0.724809 0.753014
0.724809 0.753014
0.724809 0.753014
0.820606 0.669406
0.686711 0.740297
0.686711 0.740297
0.781197 0.706649
0.717981 0.668195
0.717981 0.668195
0.778079 0.693273
0.705476 0.556348
0.744241 0.642395
0.847742 0.569689
0.835512 0.56143
0.877136 0.626616
0.843302 0.656772
0.74981 0.672054
0.876135 0.702956
0.876135 0.702956
0.876135 0.702956
0.874712 0.557927
0.836931 0.679387
0.836931 0.679387
0.940285 0.528955
0.940285 0.528955
0.940285 0.528955
0.940285 0.528955
0.940285 0.528955
0.940285 0.528955
0.847436 0.574241
0.847436 0.574241
0.853283 0.536689
0.853283 0.536689
0.806749 0.631517
0.82674 0.57805
0.783265 0.735663
0.783265 0.735663
0.686285 0.616108
0.686285 0.616108
0.686285 0.616108
0.686285 0.616108
0.686285 0.616108
0.728152 0.76169
0.676471 0.873994
