mu sigma
0.760584 0.563366
0.760584 0.563366
0.766029 0.567185
0.766029 0.567185
0.774557 0.615667
0.774557 0.615667
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.802021 0.570209
0.771009 0.613754
0.771009 0.613754
0.771009 0.613754
0.771009 0.613754
0.771009 0.613754
0.771009 0.613754
0.771009 0.613754
0.771009 0.613754
0.771009 0.613754
0.763439 0.614527
0.78865 0.58057
0.78865 0.58057
0.78865 0.58057
0.792519 0.581691
0.811634 0.585023
0.811634 0.585023
0.79681 0.619909
0.79681 0.619909
0.809179 0.587201
0.780673 0.555686
0.780673 0.555686
0.786561 0.58413
0.786679 0.609578
0.786679 0.609578
0.800627 0.619698
0.813307 0.637266
0.813307 0.637266
0.796334 0.648902
0.762178 0.654603
0.756852 0.622654
0.781572 0.615501
0.820565 0.655401
0.794213 0.622927
0.794213 0.622927
0.794213 0.622927
0.822158 0.641888
0.791868 0.618316
0.804501 0.586951
0.824063 0.626032
0.824063 0.626032
0.824063 0.626032
0.821964 0.6069
0.821964 0.6069
0.821964 0.6069
0.821964 0.6069
0.821964 0.6069
0.821964 0.6069
0.788497 0.619395
0.788497 0.619395
0.814685 0.60104
0.814685 0.60104
0.791348 0.641166
0.778979 0.602215
0.778979 0.602215
0.816515 0.607022
0.804071 0.638524
0.805554 0.680546
0.815024 0.669358
0.815024 0.669358
0.807583 0.628691
0.808433 0.647217
0.808433 0.647217
0.824233 0.606803
0.824233 0.606803
0.854605 0.647855
0.854605 0.647855
0.861928 0.690375
0.820805 0.661452
0.816168 0.625083
0.816168 0.625083
0.816168 0.625083
0.778786 0.668205
0.738637 0.635124
0.714206 0.645774
0.718178 0.648771
0.759377 0.627193
0.788516 0.657438
0.788516 0.657438
0.788516 0.657438
0.780183 0.629899
0.780183 0.629899
