mu sigma
0.88599 0.677369
0.911249 0.658253
0.911249 0.658253
0.909155 0.625064
0.909155 0.625064
0.909155 0.625064
0.909155 0.625064
0.875503 0.610308
0.837231 0.645827
0.837231 0.645827
0.837231 0.645827
0.837231 0.645827
0.837231 0.645827
0.870986 0.626632
0.870986 0.626632
0.837564 0.613803
0.850088 0.638679
0.850088 0.638679
0.851391 0.6019
0.851391 0.6019
0.823073 0.624007
0.794688 0.654485
0.774906 0.651315
0.762005 0.633206
0.735082 0.637786
0.715548 0.614872
0.691276 0.602608
0.714361 0.601038
0.754291 0.606804
0.724362 0.60548
0.752549 0.601948
0.752549 0.601948
0.779988 0.596186
0.793207 0.582512
0.793207 0.582512
0.793355 0.603502
0.792753 0.638113
0.792753 0.638113
0.820374 0.596093
0.849401 0.636857
0.849262 0.631597
0.834859 0.625264
0.834859 0.625264
0.867674 0.579454
0.870905 0.569892
0.827664 0.580769
0.781679 0.596446
0.785914 0.625261
0.819224 0.614034
0.781031 0.599471
0.756807 0.640842
0.756807 0.640842
0.754024 0.610294
0.781874 0.571582
0.817013 0.544547
0.813344 0.574437
0.813344 0.574437
0.826206 0.580905
0.826206 0.580905
0.821322 0.585414
0.821322 0.585414
0.821322 0.585414
0.825899 0.603547
0.825899 0.603547
0.786502 0.638014
0.789482 0.669538
0.790709 0.653374
0.840801 0.637227
0.86931 0.634228
0.848597 0.640138
0.848597 0.640138
0.848597 0.640138
0.867221 0.628322
0.82568 0.649484
0.78828 0.681462
0.738751 0.6649
0.738751 0.6649
0.738751 0.6649
0.738751 0.6649
0.789027 0.613528
0.789027 0.613528
0.838073 0.568064
0.822163 0.6079
0.80638 0.64499
0.80638 0.64499
0.773203 0.612471
0.825065 0.568575
0.825065 0.568575
0.779963 0.624506
0.779963 0.624506
0.724956 0.627194
0.742875 0.612319
0.742875 0.612319
0.723947 0.619186
0.723947 0.619186
0.710472 0.60072
0.747268 0.625711
0.785424 0.662779
0.754733 0.61916
0.754733 0.61916
