mu sigma
0.743359 0.607509
0.745057 0.553787
0.714302 0.61266
0.714302 0.61266
0.767774 0.593867
0.814908 0.597584
0.775608 0.627775
0.836848 0.592679
0.782758 0.60637
0.782758 0.60637
0.782758 0.60637
0.834641 0.568461
0.831068 0.59829
0.776598 0.620718
0.820036 0.663992
0.820036 0.663992
0.752091 0.664931
0.769009 0.635735
0.728061 0.618441
0.772448 0.674304
0.772448 0.674304
0.80959 0.67038
0.791357 0.611563
0.763283 0.580181
0.791466 0.632409
0.817695 0.659231
0.80058 0.668895
0.7698 0.66458
0.7698 0.66458
0.7698 0.66458
0.7698 0.66458
0.7698 0.66458
0.7698 0.66458
0.7698 0.66458
0.812889 0.63616
0.850917 0.622902
0.850917 0.622902
0.850917 0.622902
0.850917 0.622902
0.816163 0.639322
0.816163 0.639322
0.816163 0.639322
0.816163 0.639322
0.816163 0.639322
0.844496 0.652514
0.829962 0.679369
0.829962 0.679369
0.856987 0.612502
0.856987 0.612502
0.808273 0.642971
0.764517 0.678594
0.764517 0.678594
0.756203 0.661828
0.753626 0.653632
0.753806 0.688704
0.753806 0.688704
0.815253 0.657627
0.815253 0.657627
0.815253 0.657627
0.815253 0.657627
0.780778 0.700791
0.780778 0.700791
0.756123 0.691602
0.793606 0.663231
0.793606 0.663231
0.729634 0.651602
0.762546 0.610967
0.694884 0.667282
0.758841 0.61174
0.787475 0.580319
0.786845 0.606059
0.74554 0.61591
0.772952 0.623201
0.765649 0.683182
0.765649 0.683182
0.765649 0.683182
0.721319 0.724304
0.721319 0.724304
0.721319 0.724304
0.738984 0.641163
0.713736 0.685138
0.713736 0.685138
0.630215 0.623297
0.665571 0.677049
0.665571 0.677049
0.665571 0.677049
0.665571 0.677049
0.665571 0.677049
0.665571 0.677049
0.665571 0.677049
0.729706 0.688449
0.698794 0.663448
0.698794 0.663448
0.698794 0.663448
0.724039 0.674473
0.696301 0.616154
0.739743 0.633099
0.739743 0.633099
0.775614 0.658108
0.725151 0.637807
