mu sigma
0.844578 0.592979
0.844275 0.593701
0.844275 0.593701
0.844275 0.593701
0.844275 0.593701
0.842097 0.625846
0.842097 0.625846
0.839543 0.581952
0.839543 0.581952
0.846866 0.585449
0.846866 0.585449
0.870725 0.6032
0.852974 0.622328
0.852974 0.622328
0.852974 0.622328
0.895117 0.655678
0.895117 0.655678
0.895117 0.655678
0.85712 0.631183
0.865754 0.587098
0.865754 0.587098
0.865754 0.587098
0.865754 0.587098
0.865754 0.587098
0.860539 0.613021
0.860539 0.613021
0.813322 0.578607
0.77985 0.610901
0.77985 0.610901
0.752429 0.626457
0.78001 0.634334
0.783686 0.630848
0.815973 0.606003
0.79927 0.621105
0.788189 0.633645
0.755709 0.636125
0.73829 0.601369
0.73829 0.601369
0.715885 0.637998
0.735603 0.659469
0.737584 0.669556
0.721419 0.683304
0.721419 0.683304
0.707784 0.659175
0.707784 0.659175
0.734658 0.648524
0.747846 0.630586
0.784686 0.639748
0.794578 0.619486
0.777686 0.616635
0.796007 0.580315
0.796748 0.60453
0.796748 0.60453
0.796748 0.60453
0.817204 0.577206
0.837167 0.610518
0.825517 0.603709
0.795667 0.640029
0.772073 0.624693
0.776542 0.600765
0.78929 0.586077
0.750823 0.574044
0.733619 0.600092
0.733619 0.600092
0.709028 0.610098
0.726182 0.578458
0.691123 0.598747
0.66118 0.585633
0.66118 0.585633
0.658389 0.563237
0.692227 0.595694
0.710514 0.58786
0.710514 0.58786
0.710514 0.58786
0.75536 0.627921
0.75536 0.627921
0.776483 0.583916
0.776483 0.583916
0.776483 0.583916
0.776483 0.583916
0.784293 0.570099
0.795547 0.591589
0.795547 0.591589
0.795547 0.591589
0.773034 0.617027
0.79007 0.580055
0.766795 0.548824
0.724813 0.566793
0.749936 0.540759
0.784679 0.575575
0.784679 0.575575
0.775132 0.55738
0.775132 0.55738
0.775132 0.55738
0.775132 0.55738
0.775132 0.55738
0.775132 0.55738
0.805268 0.567587
0.805268 0.567587
0.805268 0.567587
