Energy Error Acceptance
-0.295049 0.0574096 0.662
-0.308132 0.0372465 0.626
-0.319707 0.0206339 0.582
-0.35885 0.0196377 0.579667
-0.317876 0.0328598 0.602
-0.317876 0.0328598 0.602
-0.317876 0.0328598 0.602
-0.402463 0.0271957 0.648
-0.402463 0.0271957 0.648
-0.402463 0.0271957 0.648
-0.402463 0.0271957 0.648
-0.358914 0.0179501 0.598667
-0.358914 0.0179501 0.598667
-0.310472 0.0344019 0.612333
-0.399751 0.0169074 0.502
-0.314533 0.0413583 0.604667
-0.145061 0.0805178 0.562
-0.240064 0.0238753 0.514
0.0192635 0.04095 0.705667
0.0192635 0.04095 0.705667
0.0192635 0.04095 0.705667
-0.300478 0.0164707 0.627
-0.225958 0.0249844 0.530667
-0.144011 0.0595164 0.61
-0.299747 0.0376961 0.641
-0.299747 0.0376961 0.641
-0.299747 0.0376961 0.641
-0.299747 0.0376961 0.641
-0.263846 0.0506901 0.507667
-0.356498 0.046896 0.590333
-0.356498 0.046896 0.590333
-0.356498 0.046896 0.590333
-0.321017 0.0227847 0.563
-0.321017 0.0227847 0.563
-0.423312 0.0245495 0.624667
-0.423312 0.0245495 0.624667
-0.423312 0.0245495 0.624667
-0.423312 0.0245495 0.624667
-0.423312 0.0245495 0.624667
-0.331914 0.0242623 0.585333
-0.355848 0.0213101 0.628333
-0.33488 0.0223128 0.546333
-0.176369 0.0504248 0.598
-0.176369 0.0504248 0.598
-0.318172 0.0360768 0.561667
-0.295042 0.0352749 0.530667
-0.175457 0.0588151 0.575667
-0.208322 0.0407336 0.585333
-0.209291 0.0617988 0.606
-0.209291 0.0617988 0.606
-0.182009 0.0694318 0.499
-0.237495 0.0492437 0.665667
-0.237495 0.0492437 0.665667
-0.237495 0.0492437 0.665667
-0.175986 0.0557551 0.606333
-0.215826 0.0337637 0.703667
-0.215496 0.0319267 0.591667
-0.215496 0.0319267 0.591667
-0.215496 0.0319267 0.591667
-0.215496 0.0319267 0.591667
-0.104602 0.0359408 0.516
-0.236059 0.0264804 0.632667
-0.172007 0.0608053 0.623
-0.172007 0.0608053 0.623
-0.143157 0.0294173 0.549667
-0.129775 0.0336467 0.567
-0.213005 0.030072 0.545333
-0.223476 0.0244336 0.680667
-0.260476 0.0262326 0.582
-0.260476 0.0262326 0.582
-0.248598 0.0290883 0.592667
-0.248598 0.0290883 0.592667
-0.317814 0.0257645 0.577667
0.0364768 0.154602 0.592667
-0.189938 0.0698179 0.48
-0.317939 0.0363044 0.483667
-0.321659 0.0274339 0.526
-0.203771 0.0249988 0.598333
-0.276365 0.025479 0.546
-0.335215 0.0374135 0.517
-0.335215 0.0374135 0.517
-0.335215 0.0374135 0.517
-0.274271 0.0368283 0.579667
-0.256553 0.0343904 0.545
-0.211369 0.0297913 0.666667
-0.229431 0.0236634 0.518333
-0.0367775 0.0386751 0.619
-0.111059 0.0335011 0.617
-0.265882 0.0295674 0.515333
-0.265882 0.0295674 0.515333
-0.284917 0.0240289 0.531
-0.21078 0.0536492 0.621333
-0.279814 0.0465159 0.57
-0.259613 0.0538193 0.552333
-0.271659 0.0430685 0.615667
-0.460017 0.0131755 0.522333
-0.460017 0.0131755 0.522333
-0.460017 0.0131755 0.522333
-0.460017 0.0131755 0.522333
-0.460017 0.0131755 0.522333
