mu sigma
0.933105 0.627268
0.933105 0.627268
0.933105 0.627268
0.933105 0.627268
0.857328 0.650056
0.857328 0.650056
0.857328 0.650056
0.831092 0.64155
0.851487 0.613852
0.851487 0.613852
0.851487 0.613852
0.816542 0.638753
0.816542 0.638753
0.816542 0.638753
0.855474 0.594128
0.909722 0.65859
0.909722 0.65859
0.968182 0.697609
0.968182 0.697609
0.968182 0.697609
0.968182 0.697609
0.921807 0.719713
0.921807 0.719713
0.921807 0.719713
0.900099 0.722262
0.887805 0.727059
0.864064 0.772742
0.864064 0.772742
0.881575 0.720077
0.855792 0.670365
0.855792 0.670365
0.855792 0.670365
0.808413 0.667597
0.788411 0.632575
0.76131 0.653852
0.737131 0.717166
0.799604 0.659031
0.799604 0.659031
0.777869 0.635482
0.838577 0.595355
0.838577 0.595355
0.884531 0.642289
0.850216 0.68443
0.805955 0.675048
0.779648 0.682692
0.78307 0.663265
0.774959 0.599416
0.743773 0.658721
0.795215 0.67046
0.765654 0.689941
0.765654 0.689941
0.765654 0.689941
0.817055 0.714982
0.817055 0.714982
0.817055 0.714982
0.786911 0.680255
0.786911 0.680255
0.720231 0.673931
0.709662 0.663537
0.643569 0.699914
0.683024 0.748237
0.683024 0.748237
0.64727 0.794596
0.64727 0.794596
0.625955 0.817165
0.555546 0.817536
0.615797 0.806766
0.615797 0.806766
0.615797 0.806766
0.615797 0.806766
0.607266 0.799373
0.57423 0.851138
0.57423 0.851138
0.637842 0.784347
0.681348 0.837257
0.681348 0.837257
0.692561 0.778176
0.692561 0.778176
0.631567 0.797926
0.643312 0.7721
0.63128 0.754292
0.63128 0.754292
0.584586 0.754026
0.645963 0.788029
0.615276 0.815164
0.615276 0.815164
0.608922 0.838672
0.580483 0.786473
0.580483 0.786473
0.590867 0.785433
0.56287 0.728014
0.59104 0.766386
0.547415 0.727472
0.615801 0.752073
0.658231 0.821139
0.658231 0.821139
0.658231 0.821139
0.658231 0.821139
0.612054 0.798669
0.657207 0.725301
