mu sigma
0.780183 0.629899
0.795397 0.585233
0.777173 0.607124
0.777173 0.607124
0.777173 0.607124
0.777173 0.607124
0.749451 0.613458
0.784671 0.592775
0.809773 0.621799
0.809773 0.621799
0.809773 0.621799
0.809773 0.621799
0.809773 0.621799
0.809773 0.621799
0.809773 0.621799
0.767621 0.622172
0.80291 0.651224
0.80291 0.651224
0.790747 0.640401
0.784738 0.653118
0.784738 0.653118
0.784738 0.653118
0.784738 0.653118
0.745868 0.633169
0.745868 0.633169
0.765163 0.685364
0.769804 0.663476
0.772338 0.634709
0.777564 0.585129
0.771444 0.547119
0.767115 0.553843
0.79025 0.580486
0.765272 0.621713
0.738697 0.595062
0.756824 0.568087
0.783706 0.609658
0.747321 0.585709
0.747321 0.585709
0.747321 0.585709
0.747321 0.585709
0.747321 0.585709
0.747321 0.585709
0.72493 0.593873
0.716117 0.595465
0.716117 0.595465
0.731218 0.57463
0.731218 0.57463
0.758267 0.611707
0.727848 0.617841
0.765484 0.66315
0.800915 0.618045
0.824361 0.588049
0.824361 0.588049
0.859815 0.593445
0.846133 0.576939
0.846133 0.576939
0.872285 0.614904
0.872285 0.614904
0.896328 0.633065
0.858603 0.664053
0.858603 0.664053
0.878229 0.622106
0.871585 0.626474
0.855949 0.622933
0.855949 0.622933
0.842895 0.638876
0.859544 0.644728
0.820548 0.683872
0.820548 0.683872
0.820548 0.683872
0.860774 0.643017
0.860774 0.643017
0.860774 0.643017
0.860774 0.643017
0.832032 0.600928
0.829995 0.634883
0.844256 0.651345
0.814446 0.651915
0.814446 0.651915
0.814446 0.651915
0.814446 0.651915
0.783571 0.657879
0.762224 0.659158
0.762224 0.659158
0.762224 0.659158
0.785465 0.612908
0.785465 0.612908
0.785465 0.612908
0.785465 0.612908
0.785465 0.612908
0.777174 0.616584
0.807597 0.651974
0.807597 0.651974
0.807597 0.651974
0.794536 0.653911
0.78002 0.657151
0.816208 0.666337
0.808819 0.690512
0.808819 0.690512
0.808819 0.690512
