mu sigma
0.692678 0.598188
0.650443 0.641007
0.690896 0.597735
0.690896 0.597735
0.694654 0.60179
0.694654 0.60179
0.747543 0.553561
0.747543 0.553561
0.753143 0.567114
0.832297 0.625625
0.727376 0.650668
0.82508 0.572228
0.718784 0.62643
0.718784 0.62643
0.82645 0.512556
0.742513 0.641551
0.742513 0.641551
0.743395 0.506694
0.743395 0.506694
0.743395 0.506694
0.738657 0.645601
0.752303 0.742516
0.752303 0.742516
0.898489 0.682803
0.748843 0.566995
0.748843 0.566995
0.831959 0.539898
0.831959 0.539898
0.831959 0.539898
0.829936 0.532206
0.951525 0.611385
0.951525 0.611385
0.951525 0.611385
0.951525 0.611385
0.951525 0.611385
0.812368 0.723908
0.81716 0.66153
0.76476 0.673651
0.76476 0.673651
0.745619 0.521498
0.745619 0.521498
0.745619 0.521498
0.799777 0.596002
0.799777 0.596002
0.799777 0.596002
0.799777 0.596002
0.649362 0.713497
0.649362 0.713497
0.649362 0.713497
0.709986 0.643681
0.709986 0.643681
0.785218 0.672616
0.785218 0.672616
0.785218 0.672616
0.816365 0.60915
0.95327 0.613406
0.953698 0.605855
0.953698 0.605855
0.953698 0.605855
0.981941 0.690706
0.870883 0.765023
0.870883 0.765023
0.870883 0.765023
0.870883 0.765023
0.839371 0.784989
0.735745 0.780789
0.84524 0.712748
0.84524 0.712748
0.84524 0.712748
0.736687 0.703541
0.651394 0.653095
0.651394 0.653095
0.631049 0.741914
0.722625 0.657868
0.722625 0.657868
0.68748 0.714819
0.763815 0.796926
0.763815 0.796926
0.763815 0.796926
0.763815 0.796926
0.763815 0.796926
0.763815 0.796926
0.763815 0.796926
0.763815 0.796926
0.763815 0.796926
0.763815 0.796926
0.7054 0.732021
0.69949 0.607399
0.69949 0.607399
0.740753 0.684066
0.643719 0.596359
0.674805 0.636044
0.725732 0.697934
0.725732 0.697934
0.725732 0.697934
0.795289 0.648244
0.72473 0.593084
0.740593 0.650972
0.776175 0.563585
0.776175 0.563585
