mu sigma
0.90496 0.651927
0.90496 0.651927
0.90496 0.651927
0.886747 0.612765
0.886747 0.612765
0.857566 0.576752
0.81473 0.581213
0.804197 0.608185
0.794199 0.615074
0.794199 0.615074
0.819464 0.657134
0.787982 0.614568
0.766621 0.641553
0.810062 0.615024
0.810062 0.615024
0.810062 0.615024
0.810062 0.615024
0.810062 0.615024
0.810062 0.615024
0.814611 0.570997
0.814611 0.570997
0.827689 0.600529
0.862184 0.590912
0.862184 0.590912
0.850076 0.580186
0.87731 0.599486
0.87731 0.599486
0.87731 0.599486
0.88678 0.635605
0.88678 0.635605
0.88678 0.635605
0.88678 0.635605
0.852755 0.619359
0.890618 0.595953
0.890618 0.595953
0.903043 0.616138
0.892851 0.610976
0.868693 0.640338
0.897072 0.62293
0.897072 0.62293
0.897072 0.62293
0.892735 0.647695
0.892735 0.647695
0.892735 0.647695
0.861457 0.65928
0.896768 0.624065
0.896768 0.624065
0.913282 0.659947
0.913282 0.659947
0.891143 0.670323
0.89482 0.638885
0.89482 0.638885
0.867855 0.60174
0.841513 0.58638
0.875721 0.587385
0.874476 0.601275
0.874476 0.601275
0.874476 0.601275
0.874476 0.601275
0.874476 0.601275
0.846062 0.633875
0.846062 0.633875
0.831688 0.619106
0.86916 0.598977
0.86916 0.598977
0.86916 0.598977
0.834775 0.637422
0.834775 0.637422
0.841144 0.626646
0.79991 0.653401
0.770985 0.640987
0.777926 0.599595
0.777926 0.599595
0.777926 0.599595
0.777926 0.599595
0.777926 0.599595
0.777926 0.599595
0.753775 0.626436
0.770279 0.634603
0.802987 0.610404
0.802987 0.610404
0.784231 0.595015
0.783454 0.619643
0.764505 0.57842
0.750362 0.569914
0.750362 0.569914
0.750362 0.569914
0.76299 0.596712
0.726898 0.581669
0.758545 0.590064
0.794643 0.553703
0.794643 0.553703
0.794643 0.553703
0.794643 0.553703
0.794643 0.553703
0.784468 0.597914
0.806341 0.613156
0.806341 0.613156
0.804784 0.631362
0.804784 0.631362
