mu sigma
0.743191 0.59128
0.743191 0.59128
0.743191 0.59128
0.743191 0.59128
0.743191 0.59128
0.743191 0.59128
0.743191 0.59128
0.743191 0.59128
0.759379 0.652051
0.759379 0.652051
0.759379 0.652051
0.759379 0.652051
0.70169 0.625608
0.70169 0.625608
0.763055 0.644698
0.763055 0.644698
0.779742 0.627778
0.725216 0.63631
0.763323 0.572655
0.763323 0.572655
0.729585 0.536301
0.793343 0.56869
0.793343 0.56869
0.793343 0.56869
0.833646 0.607743
0.859782 0.624105
0.898698 0.630019
0.849618 0.606527
0.798543 0.588808
0.798543 0.588808
0.737571 0.631004
0.786288 0.617036
0.786288 0.617036
0.786288 0.617036
0.727612 0.628999
0.727612 0.628999
0.727612 0.628999
0.727612 0.628999
0.727612 0.628999
0.727612 0.628999
0.786728 0.574475
0.770229 0.619177
0.815473 0.584384
0.769916 0.625861
0.769916 0.625861
0.769916 0.625861
0.769916 0.625861
0.788206 0.640256
0.79138 0.675101
0.79138 0.675101
0.735197 0.713077
0.735197 0.713077
0.735197 0.713077
0.735197 0.713077
0.790289 0.746734
0.814767 0.703871
0.751845 0.654304
0.790928 0.69778
0.794529 0.71507
0.801235 0.660318
0.801235 0.660318
0.801235 0.660318
0.801235 0.660318
0.801235 0.660318
0.801235 0.660318
0.801235 0.660318
0.835507 0.641678
0.845655 0.590866
0.862277 0.589401
0.893147 0.653518
0.893147 0.653518
0.871651 0.59891
0.841902 0.596148
0.805639 0.587917
0.805639 0.587917
0.745158 0.600596
0.745158 0.600596
0.733281 0.633251
0.705903 0.581463
0.704523 0.636083
0.705715 0.649405
0.705715 0.649405
0.753816 0.605261
0.753816 0.605261
0.753816 0.605261
0.793295 0.583776
0.746618 0.595048
0.779479 0.610601
0.768554 0.62856
0.785403 0.57965
0.785403 0.57965
0.725091 0.632307
0.662021 0.687336
0.662021 0.687336
0.694011 0.677152
0.694011 0.677152
0.694011 0.677152
0.719557 0.653883
0.738583 0.590972
0.796364 0.61526
