mu sigma
0.819863 0.641374
0.844937 0.648728
0.828128 0.60991
0.862775 0.583264
0.872597 0.583267
0.872597 0.583267
0.884845 0.600892
0.884845 0.600892
0.885631 0.63132
0.848043 0.670234
0.87585 0.65131
0.905575 0.645451
0.905575 0.645451
0.905575 0.645451
0.905575 0.645451
0.905575 0.645451
0.905575 0.645451
0.887395 0.636151
0.854762 0.623834
0.820293 0.657969
0.820293 0.657969
0.797435 0.641489
0.840669 0.613797
0.840669 0.613797
0.840669 0.613797
0.840669 0.613797
0.840669 0.613797
0.840669 0.613797
0.857759 0.623885
0.857759 0.623885
0.857759 0.623885
0.887675 0.606137
0.876237 0.620893
0.846386 0.65671
0.857964 0.631354
0.857964 0.631354
0.857964 0.631354
0.857964 0.631354
0.857964 0.631354
0.857964 0.631354
0.857964 0.631354
0.857964 0.631354
0.8263 0.623651
0.813405 0.613313
0.823445 0.638998
0.806889 0.631489
0.806889 0.631489
0.806889 0.631489
0.806889 0.631489
0.806889 0.631489
0.806889 0.631489
0.806889 0.631489
0.782508 0.62978
0.782508 0.62978
0.795865 0.594403
0.796277 0.575077
0.818323 0.597368
0.818323 0.597368
0.834942 0.613175
0.802741 0.587349
0.769295 0.579223
0.769295 0.579223
0.785275 0.588747
0.79105 0.582442
0.791267 0.605507
0.807556 0.570558
0.807556 0.570558
0.803965 0.548869
0.782277 0.559056
0.794364 0.555626
0.794364 0.555626
0.790212 0.55273
0.790212 0.55273
0.754789 0.540772
0.754789 0.540772
0.740387 0.539711
0.726649 0.570418
0.726649 0.570418
0.710434 0.553557
0.690936 0.570312
0.690936 0.570312
0.698464 0.574369
0.673419 0.580978
0.673419 0.580978
0.673419 0.580978
0.673419 0.580978
0.673419 0.580978
0.673419 0.580978
0.673419 0.580978
0.673419 0.580978
0.701342 0.618813
0.701342 0.618813
0.734306 0.593975
0.771482 0.610367
0.750573 0.633441
0.761336 0.651967
0.761936 0.684847
0.770802 0.648535
0.760894 0.646197
0.760894 0.646197
