Energy Error Acceptance
-0.450271 0.00659707 0.555467
-0.437519 0.00896411 0.632267
-0.455084 0.00690658 0.6632
-0.455084 0.00690658 0.6632
-0.454883 0.00649756 0.606933
-0.437021 0.00747951 0.6686
-0.44961 0.00484482 0.721267
-0.453868 0.00533601 0.565133
-0.453868 0.00533601 0.565133
-0.453868 0.00533601 0.565133
-0.453868 0.00533601 0.565133
-0.454885 0.00519866 0.561333
-0.454885 0.00519866 0.561333
-0.447425 0.00641258 0.6696
-0.447425 0.00641258 0.6696
-0.447425 0.00641258 0.6696
-0.447425 0.00641258 0.6696
-0.447425 0.00641258 0.6696
-0.447425 0.00641258 0.6696
-0.438795 0.00575245 0.5968
-0.438795 0.00575245 0.5968
-0.436519 0.00617144 0.519333
-0.438886 0.00768742 0.6422
-0.440774 0.00645341 0.605933
-0.440774 0.00645341 0.605933
-0.440774 0.00645341 0.605933
-0.421778 0.00658547 0.7024
-0.421778 0.00658547 0.7024
-0.421778 0.00658547 0.7024
-0.435173 0.00656453 0.650533
-0.445394 0.00779222 0.634067
-0.445394 0.00779222 0.634067
-0.445394 0.00779222 0.634067
-0.445394 0.00779222 0.634067
-0.445394 0.00779222 0.634067
-0.445394 0.00779222 0.634067
-0.445979 0.00729584 0.574867
-0.432417 0.00706437 0.601
-0.432417 0.00706437 0.601
-0.435538 0.00629401 0.639533
-0.441116 0.0080206 0.6376
-0.441116 0.0080206 0.6376
-0.439172 0.00690434 0.6498
-0.437942 0.00610557 0.659533
-0.437942 0.00610557 0.659533
-0.437942 0.00610557 0.659533
-0.447393 0.00553489 0.597733
-0.447393 0.00553489 0.597733
-0.449044 0.00549829 0.638933
-0.43885 0.00621283 0.599333
-0.43791 0.00736327 0.565533
-0.44594 0.00538037 0.644067
-0.438376 0.00711706 0.712467
-0.438376 0.00711706 0.712467
-0.45225 0.00553156 0.624933
-0.45225 0.00553156 0.624933
-0.439831 0.0063273 0.593933
-0.435796 0.00701343 0.526333
-0.433507 0.00708057 0.6356
-0.444022 0.00596055 0.567733
-0.447187 0.00530673 0.5232
-0.453635 0.00638808 0.553733
-0.453635 0.00638808 0.553733
-0.431221 0.00830893 0.615667
-0.431221 0.00830893 0.615667
-0.443288 0.00639469 0.578
-0.443288 0.00639469 0.578
-0.443503 0.00671543 0.6006
-0.443503 0.00671543 0.6006
-0.443503 0.00671543 0.6006
-0.431647 0.00921051 0.5636
-0.438218 0.00690069 0.558333
-0.43791 0.00514292 0.638667
-0.438765 0.00555853 0.740667
-0.436167 0.00545104 0.693267
-0.434257 0.00746916 0.643067
-0.426885 0.00573656 0.5686
-0.426885 0.00573656 0.5686
-0.427581 0.00688891 0.599267
-0.42969 0.00896203 0.532133
-0.424705 0.00909279 0.638667
-0.425638 0.00737645 0.690133
-0.427808 0.00733268 0.569333
-0.433378 0.00607889 0.539467
-0.428092 0.00838011 0.6018
-0.44897 0.00608711 0.645933
-0.450752 0.00543735 0.559533
-0.450752 0.00543735 0.559533
-0.450752 0.00543735 0.559533
-0.450631 0.00572772 0.6048
-0.450002 0.00624992 0.6316
-0.450002 0.00624992 0.6316
-0.449368 0.00500022 0.600667
-0.433776 0.0056916 0.5614
-0.429873 0.00835963 0.589933
-0.441654 0.00614006 0.679
-0.441654 0.00614006 0.679
-0.444566 0.00497338 0.524067
-0.431706 0.00845589 0.587533
-0.431698 0.0065507 0.577933
