mu sigma
0.821518 0.622498
0.821518 0.622498
0.846593 0.616015
0.825583 0.583344
0.797222 0.595524
0.797222 0.595524
0.797222 0.595524
0.804413 0.624643
0.782177 0.622579
0.767604 0.584718
0.796103 0.585451
0.763428 0.592087
0.735437 0.599027
0.735437 0.599027
0.733087 0.579624
0.733087 0.579624
0.733087 0.579624
0.704766 0.591831
0.710952 0.562515
0.734551 0.56872
0.734551 0.56872
0.734551 0.56872
0.734551 0.56872
0.748713 0.558474
0.73971 0.585244
0.708043 0.603272
0.708043 0.603272
0.708043 0.603272
0.73454 0.64121
0.700462 0.639718
0.701886 0.600833
0.673303 0.602813
0.690621 0.596396
0.707665 0.606677
0.73026 0.631177
0.753059 0.592404
0.753059 0.592404
0.782309 0.565232
0.787993 0.604936
0.765393 0.607439
0.779426 0.637638
0.815416 0.679755
0.815416 0.679755
0.824331 0.66582
0.815889 0.64709
0.803014 0.621141
0.803014 0.621141
0.825624 0.642785
0.786039 0.67474
0.822075 0.683936
0.781272 0.707378
0.77006 0.686589
0.77006 0.686589
0.737836 0.670098
0.737836 0.670098
0.737836 0.670098
0.76983 0.677655
0.76983 0.677655
0.76983 0.677655
0.783466 0.645649
0.789415 0.647934
0.789415 0.647934
0.814556 0.613931
0.834386 0.633955
0.790282 0.605223
0.790282 0.605223
0.772941 0.64031
0.772941 0.64031
0.809235 0.616762
0.83379 0.632011
0.83379 0.632011
0.83379 0.632011
0.83379 0.632011
0.83379 0.632011
0.83379 0.632011
0.83379 0.632011
0.83379 0.632011
0.83379 0.632011
0.83379 0.632011
0.83379 0.632011
0.83379 0.632011
0.806987 0.615685
0.772366 0.590753
0.793228 0.60873
0.800169 0.588279
0.800169 0.588279
0.800169 0.588279
0.800169 0.588279
0.806399 0.579794
0.806399 0.579794
0.806399 0.579794
0.806399 0.579794
0.8218 0.593438
0.850112 0.598022
0.829044 0.600819
0.829044 0.600819
0.852787 0.611792
0.852787 0.611792
0.854139 0.635666
0.854139 0.635666
