Energy Error Acceptance
-0.454078 0.00840002 0.559833
-0.443914 0.00827615 0.633667
-0.407055 0.00951123 0.574333
-0.407055 0.00951123 0.574333
-0.407055 0.00951123 0.574333
-0.361441 0.0145729 0.641167
-0.312769 0.0165247 0.571
-0.327214 0.0167715 0.5765
-0.374233 0.0175348 0.591
-0.330362 0.0170329 0.599833
-0.424374 0.0121861 0.590167
-0.424374 0.0121861 0.590167
-0.424374 0.0121861 0.590167
-0.424374 0.0121861 0.590167
-0.4293 0.0124295 0.599167
-0.4293 0.0124295 0.599167
-0.437719 0.00979734 0.665833
-0.422215 0.0133208 0.617
-0.44811 0.0103638 0.629333
-0.44811 0.0103638 0.629333
-0.449442 0.0093196 0.5485
-0.449442 0.0093196 0.5485
-0.405028 0.0138465 0.517
-0.436748 0.00645256 0.662667
-0.431136 0.0137348 0.582167
-0.431136 0.0137348 0.582167
-0.431136 0.0137348 0.582167
-0.404407 0.0191799 0.589
-0.424137 0.0182932 0.6225
-0.461642 0.00627767 0.5675
-0.425996 0.00985694 0.715667
-0.401017 0.010558 0.6285
-0.423 0.0143608 0.670333
-0.423 0.0143608 0.670333
-0.392688 0.0152438 0.641
-0.432271 0.00783957 0.571667
-0.401984 0.0125613 0.636667
-0.386445 0.014571 0.5185
-0.388371 0.0155686 0.563667
-0.450694 0.0111819 0.533167
-0.450694 0.0111819 0.533167
-0.450694 0.0111819 0.533167
-0.450694 0.0111819 0.533167
-0.450694 0.0111819 0.533167
-0.420562 0.0112432 0.62
-0.417506 0.0102231 0.6445
-0.417506 0.0102231 0.6445
-0.417506 0.0102231 0.6445
-0.441089 0.00891895 0.674833
-0.441089 0.00891895 0.674833
-0.441089 0.00891895 0.674833
-0.441089 0.00891895 0.674833
-0.441089 0.00891895 0.674833
-0.434359 0.0151927 0.695833
-0.422246 0.0145581 0.621667
-0.421353 0.0133038 0.623
-0.343011 0.0131564 0.596833
-0.407127 0.00966977 0.684167
-0.444393 0.0107907 0.6335
-0.444393 0.0107907 0.6335
-0.444393 0.0107907 0.6335
-0.391652 0.0144207 0.636
-0.391652 0.0144207 0.636
-0.377081 0.0110328 0.608833
-0.437586 0.0129868 0.640667
-0.441822 0.0105664 0.6995
-0.448185 0.0117984 0.641167
-0.436563 0.00857604 0.6695
-0.433134 0.0117524 0.569333
-0.439653 0.0116567 0.694833
-0.415149 0.0105552 0.627333
-0.415149 0.0105552 0.627333
-0.365579 0.014833 0.616
-0.365579 0.014833 0.616
-0.365579 0.014833 0.616
-0.365579 0.014833 0.616
-0.365579 0.014833 0.616
-0.365579 0.014833 0.616
-0.407487 0.0113846 0.643
-0.399654 0.0184187 0.626833
-0.399654 0.0184187 0.626833
-0.42956 0.0109511 0.578333
-0.42956 0.0109511 0.578333
-0.44615 0.0103314 0.576667
-0.44615 0.0103314 0.576667
-0.354294 0.0296932 0.598667
-0.393813 0.0176417 0.568833
-0.393813 0.0176417 0.568833
-0.439675 0.0132353 0.614333
-0.43687 0.0106884 0.571667
-0.43687 0.0106884 0.571667
-0.448736 0.0113184 0.678833
-0.449211 0.0104781 0.571667
-0.449211 0.0104781 0.571667
-0.449211 0.0104781 0.571667
-0.450512 0.00775548 0.662833
-0.42559 0.0130238 0.609667
-0.44542 0.0095143 0.658333
-0.427282 0.0102023 0.59
-0.43834 0.00842978 0.5585
