mu sigma
0.756676 0.672776
0.796897 0.656343
0.833436 0.617145
0.833436 0.617145
0.855963 0.592599
0.855963 0.592599
0.855963 0.592599
0.830399 0.62129
0.826179 0.62181
0.823296 0.615335
0.823296 0.615335
0.809616 0.594206
0.809616 0.594206
0.809616 0.594206
0.789155 0.596906
0.789155 0.596906
0.805561 0.611326
0.848962 0.592069
0.859971 0.630112
0.844727 0.659813
0.816081 0.617936
0.816081 0.617936
0.813839 0.628516
0.77562 0.661398
0.76606 0.655874
0.76606 0.655874
0.76606 0.655874
0.76606 0.655874
0.76606 0.655874
0.76606 0.655874
0.76606 0.655874
0.76606 0.655874
0.76606 0.655874
0.76606 0.655874
0.756366 0.632347
0.756366 0.632347
0.756366 0.632347
0.778654 0.605418
0.747654 0.579294
0.773374 0.599435
0.773374 0.599435
0.773374 0.599435
0.773374 0.599435
0.773374 0.599435
0.78315 0.592605
0.784177 0.623801
0.823819 0.613948
0.817243 0.64242
0.817243 0.64242
0.817243 0.64242
0.817243 0.64242
0.77823 0.625736
0.807521 0.607586
0.807521 0.607586
0.791835 0.590536
0.796817 0.573658
0.763766 0.546293
0.730037 0.559964
0.732335 0.567076
0.767301 0.586114
0.757453 0.611102
0.787285 0.582083
0.787285 0.582083
0.787285 0.582083
0.771165 0.555359
0.743867 0.541419
0.778077 0.524329
0.778077 0.524329
0.778077 0.524329
0.778077 0.524329
0.778077 0.524329
0.778077 0.524329
0.738854 0.530844
0.736317 0.534741
0.736317 0.534741
0.736317 0.534741
0.736317 0.534741
0.709457 0.535956
0.709457 0.535956
0.709457 0.535956
0.724997 0.562102
0.724997 0.562102
0.709284 0.579902
0.710627 0.558566
0.693224 0.588252
0.715226 0.563406
0.740873 0.586898
0.740873 0.586898
0.76309 0.63076
0.801234 0.599242
0.801234 0.599242
0.801234 0.599242
0.801234 0.599242
0.770134 0.63278
0.756437 0.639453
0.755748 0.612654
0.778012 0.620068
0.773434 0.581402
0.773434 0.581402
0.773434 0.581402
