mu sigma
0.86291 0.597476
0.841611 0.61597
0.821549 0.639256
0.78187 0.610317
0.734934 0.601635
0.768765 0.575212
0.768765 0.575212
0.729089 0.579024
0.729089 0.579024
0.729089 0.579024
0.739226 0.587504
0.786815 0.623542
0.766572 0.613542
0.713326 0.665439
0.756314 0.650765
0.709083 0.683838
0.709083 0.683838
0.709083 0.683838
0.660321 0.665055
0.696144 0.64588
0.693467 0.614664
0.693467 0.614664
0.74392 0.59995
0.74392 0.59995
0.749705 0.598434
0.749705 0.598434
0.798486 0.651878
0.798486 0.651878
0.792568 0.644902
0.736577 0.595071
0.736577 0.595071
0.736577 0.595071
0.736577 0.595071
0.757069 0.652348
0.741667 0.612365
0.715605 0.588896
0.736987 0.611623
0.736987 0.611623
0.736987 0.611623
0.71319 0.658672
0.71319 0.658672
0.768824 0.649218
0.768824 0.649218
0.768824 0.649218
0.791603 0.648107
0.819582 0.666487
0.819582 0.666487
0.819582 0.666487
0.819582 0.666487
0.865306 0.607437
0.865306 0.607437
0.809287 0.616865
0.803922 0.575102
0.769473 0.617969
0.71704 0.58552
0.71704 0.58552
0.747634 0.634529
0.758214 0.618565
0.758214 0.618565
0.743912 0.58264
0.743912 0.58264
0.743912 0.58264
0.743912 0.58264
0.705288 0.584857
0.734706 0.622481
0.786369 0.572043
0.802326 0.620768
0.769032 0.609466
0.804084 0.605794
0.795227 0.654354
0.768902 0.635684
0.742457 0.63897
0.77606 0.613767
0.750536 0.573
0.750536 0.573
0.757606 0.599162
0.72109 0.63245
0.703181 0.58632
0.715165 0.579903
0.691699 0.610474
0.712911 0.604713
0.712911 0.604713
0.724772 0.622839
0.69685 0.630755
0.757643 0.640024
0.738355 0.670563
0.761146 0.605249
0.827673 0.59697
0.827673 0.59697
0.76846 0.644806
0.76846 0.644806
0.76846 0.644806
0.76846 0.644806
0.793074 0.653629
0.793074 0.653629
0.793074 0.653629
0.793074 0.653629
0.793074 0.653629
0.793074 0.653629
0.793074 0.653629
