mu sigma
0.803489 0.631089
0.803489 0.631089
0.796753 0.653917
0.828567 0.642653
0.821665 0.666581
0.821665 0.666581
0.839858 0.682699
0.839858 0.682699
0.839858 0.682699
0.839858 0.682699
0.836393 0.699675
0.824583 0.712428
0.820386 0.727974
0.820386 0.727974
0.784136 0.742743
0.784136 0.742743
0.784136 0.742743
0.784136 0.742743
0.784136 0.742743
0.784136 0.742743
0.784136 0.742743
0.784136 0.742743
0.784136 0.742743
0.812534 0.70247
0.832012 0.691155
0.821755 0.679584
0.821755 0.679584
0.821755 0.679584
0.78422 0.643299
0.78422 0.643299
0.745601 0.680836
0.745601 0.680836
0.745601 0.680836
0.763655 0.698768
0.763655 0.698768
0.760371 0.709792
0.779851 0.712487
0.786279 0.690937
0.778319 0.663293
0.796764 0.6712
0.787597 0.689815
0.77443 0.680358
0.761634 0.684914
0.744444 0.699913
0.716457 0.725119
0.716457 0.725119
0.716457 0.725119
0.716457 0.725119
0.716457 0.725119
0.716457 0.725119
0.716457 0.725119
0.732774 0.701416
0.736277 0.709515
0.737852 0.706135
0.737852 0.706135
0.737852 0.706135
0.737852 0.706135
0.737852 0.706135
0.754457 0.681951
0.765121 0.661427
0.765121 0.661427
0.798461 0.677376
0.798461 0.677376
0.798461 0.677376
0.798461 0.677376
0.795503 0.661275
0.817396 0.644122
0.841823 0.637646
0.841823 0.637646
0.841823 0.637646
0.865184 0.649465
0.889193 0.637335
0.87204 0.653228
0.874515 0.67789
0.871908 0.684319
0.846546 0.662285
0.820491 0.6809
0.82355 0.659557
0.816647 0.633065
0.82062 0.64363
0.800625 0.621834
0.786962 0.610748
0.786962 0.610748
0.786962 0.610748
0.765975 0.637525
0.777074 0.65444
0.777074 0.65444
0.777074 0.65444
0.806781 0.619877
0.784275 0.610302
0.814694 0.61327
0.807659 0.619695
0.783482 0.624422
0.783482 0.624422
0.818363 0.646761
0.818363 0.646761
0.818363 0.646761
0.821518 0.622498
0.821518 0.622498
0.821518 0.622498
