mu sigma
0.822108 0.646351
0.822108 0.646351
0.822108 0.646351
0.822108 0.646351
0.822108 0.646351
0.822108 0.646351
0.822108 0.646351
0.79268 0.63393
0.794435 0.599882
0.804773 0.597186
0.828913 0.589025
0.849731 0.593519
0.849731 0.593519
0.849731 0.593519
0.849731 0.593519
0.849731 0.593519
0.849731 0.593519
0.849731 0.593519
0.849731 0.593519
0.826788 0.612694
0.815658 0.63828
0.815658 0.63828
0.815658 0.63828
0.799463 0.619581
0.822335 0.615635
0.800764 0.606258
0.812117 0.625542
0.78644 0.605534
0.763862 0.58044
0.752614 0.609365
0.75806 0.615055
0.777179 0.585967
0.759189 0.609192
0.759189 0.609192
0.763423 0.618982
0.736638 0.632322
0.754853 0.600104
0.762218 0.630023
0.762218 0.630023
0.760857 0.631054
0.769887 0.655354
0.785171 0.668611
0.811505 0.658479
0.811505 0.658479
0.811505 0.658479
0.793628 0.632599
0.816415 0.606489
0.787264 0.619644
0.767058 0.638895
0.767058 0.638895
0.767058 0.638895
0.752016 0.651542
0.740152 0.670386
0.733305 0.657912
0.733305 0.657912
0.733305 0.657912
0.747109 0.678212
0.784238 0.652156
0.815679 0.640297
0.815679 0.640297
0.815679 0.640297
0.798518 0.621559
0.79564 0.65194
0.79564 0.65194
0.79564 0.65194
0.764117 0.656313
0.751447 0.67164
0.751447 0.67164
0.768115 0.638011
0.768115 0.638011
0.80331 0.66568
0.787661 0.701377
0.787661 0.701377
0.758809 0.666095
0.775081 0.702494
0.741611 0.725012
0.730549 0.742167
0.712533 0.770299
0.691156 0.760332
0.67987 0.756586
0.675312 0.76717
0.675312 0.76717
0.675312 0.76717
0.675312 0.76717
0.675312 0.76717
0.675312 0.76717
0.688302 0.763794
0.688302 0.763794
0.688302 0.763794
0.688302 0.763794
0.675433 0.728179
0.696507 0.753828
0.696507 0.753828
0.696507 0.753828
0.696507 0.753828
0.696507 0.753828
0.696507 0.753828
0.696507 0.753828
0.678625 0.735116
0.678625 0.735116
