Energy Error Acceptance
-0.42173 0.0122947 0.652667
-0.42173 0.0122947 0.652667
-0.42173 0.0122947 0.652667
-0.42173 0.0122947 0.652667
-0.447398 0.0125503 0.599333
-0.447398 0.0125503 0.599333
-0.447398 0.0125503 0.599333
-0.442849 0.0126614 0.673333
-0.443698 0.00938394 0.681
-0.443698 0.00938394 0.681
-0.443698 0.00938394 0.681
-0.453059 0.00758516 0.5985
-0.453059 0.00758516 0.5985
-0.453059 0.00758516 0.5985
-0.406915 0.0194837 0.6445
-0.354916 0.0231989 0.636333
-0.354916 0.0231989 0.636333
-0.263077 0.0331761 0.633667
-0.263077 0.0331761 0.633667
-0.263077 0.0331761 0.633667
-0.263077 0.0331761 0.633667
-0.322868 0.0310901 0.663333
-0.322868 0.0310901 0.663333
-0.322868 0.0310901 0.663333
-0.309057 0.0373019 0.595833
-0.276152 0.0332426 0.686167
-0.329913 0.0238417 0.536833
-0.329913 0.0238417 0.536833
-0.32106 0.0422761 0.524333
-0.427191 0.013733 0.759
-0.427191 0.013733 0.759
-0.427191 0.013733 0.759
-0.435701 0.0146505 0.552667
-0.447449 0.00872617 0.6285
-0.445825 0.00837748 0.6635
-0.397729 0.0156823 0.615
-0.421782 0.0204903 0.628833
-0.421782 0.0204903 0.628833
-0.445856 0.00643156 0.6295
-0.446413 0.00995959 0.607
-0.446413 0.00995959 0.607
-0.433525 0.0177082 0.659833
-0.404434 0.018411 0.595833
-0.412424 0.0212217 0.585
-0.411475 0.0181197 0.575167
-0.440801 0.0091825 0.546833
-0.43484 0.00929165 0.634333
-0.426638 0.0087614 0.532667
-0.430881 0.0136233 0.549667
-0.428062 0.0120545 0.6425
-0.428062 0.0120545 0.6425
-0.428062 0.0120545 0.6425
-0.417113 0.0155101 0.622833
-0.417113 0.0155101 0.622833
-0.417113 0.0155101 0.622833
-0.412728 0.0159695 0.715833
-0.412728 0.0159695 0.715833
-0.421993 0.0158507 0.571167
-0.386325 0.0114544 0.5425
-0.373568 0.015796 0.532833
-0.383758 0.0130154 0.558
-0.383758 0.0130154 0.558
-0.315222 0.0223275 0.58
-0.315222 0.0223275 0.58
-0.308598 0.0268355 0.6685
-0.296653 0.0181912 0.519833
-0.319018 0.0243637 0.635333
-0.319018 0.0243637 0.635333
-0.319018 0.0243637 0.635333
-0.319018 0.0243637 0.635333
-0.328228 0.0197627 0.584667
-0.317295 0.0202475 0.6385
-0.317295 0.0202475 0.6385
-0.325858 0.0225011 0.495333
-0.30377 0.0304156 0.607667
-0.30377 0.0304156 0.607667
-0.356351 0.0262228 0.535833
-0.356351 0.0262228 0.535833
-0.322794 0.0199088 0.602167
-0.335742 0.0189146 0.495833
-0.327481 0.0173446 0.577167
-0.327481 0.0173446 0.577167
-0.321474 0.017656 0.5155
-0.315974 0.0182454 0.574667
-0.343106 0.0217635 0.6335
-0.343106 0.0217635 0.6335
-0.283922 0.0279953 0.586667
-0.314654 0.0173593 0.658667
-0.314654 0.0173593 0.658667
-0.320261 0.0136944 0.616833
-0.326743 0.0153507 0.5605
-0.31051 0.0149662 0.592833
-0.268761 0.0149969 0.594167
-0.334148 0.0157176 0.609667
-0.353925 0.0172924 0.605833
-0.353925 0.0172924 0.605833
-0.353925 0.0172924 0.605833
-0.353925 0.0172924 0.605833
-0.310949 0.0265774 0.561
-0.345386 0.0238562 0.628333
