#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             1  5.049054e+00  5.049054e+00  0.000000e+00
             2  5.534262e+00  5.291658e+00  1.715469e-01
             3  5.280811e+00  5.288042e+00  1.144027e-01
             4  5.101704e+00  5.241458e+00  9.481340e-02
             5  5.036267e+00  5.200419e+00  8.426524e-02
             6  5.229857e+00  5.205326e+00  7.036372e-02
             7  5.073487e+00  5.186492e+00  6.278184e-02
             8  5.374799e+00  5.210030e+00  5.918241e-02
             9  5.014257e+00  5.188277e+00  5.646283e-02
            10  5.199943e+00  5.189444e+00  5.082860e-02
            11  4.955211e+00  5.168150e+00  5.047148e-02
            12  5.433666e+00  5.190277e+00  5.088490e-02
            13  5.230216e+00  5.193349e+00  4.706333e-02
            14  5.273119e+00  5.199047e+00  4.404523e-02
            15  5.328050e+00  5.207647e+00  4.194011e-02
            16  4.986313e+00  5.193813e+00  4.153762e-02
            17  5.222481e+00  5.195500e+00  3.912845e-02
            18  5.187298e+00  5.195044e+00  3.695730e-02
            19  5.707826e+00  5.222033e+00  4.377096e-02
            20  5.089374e+00  5.215400e+00  4.208198e-02
            21  5.079590e+00  5.208933e+00  4.057197e-02
            22  5.235749e+00  5.210152e+00  3.874609e-02
            23  5.341459e+00  5.215861e+00  3.747971e-02
            24  5.036135e+00  5.208372e+00  3.665854e-02
            25  5.090538e+00  5.203659e+00  3.549391e-02
            26  5.141185e+00  5.201256e+00  3.421000e-02
            27  4.954363e+00  5.192112e+00  3.414319e-02
            28  5.283502e+00  5.195376e+00  3.307944e-02
            29  5.274585e+00  5.198107e+00  3.205133e-02
            30  5.044312e+00  5.192980e+00  3.139026e-02
            31  5.154250e+00  5.191731e+00  3.040252e-02
            32  4.890317e+00  5.182312e+00  3.087709e-02
            33  5.225804e+00  5.183630e+00  2.996954e-02
            34  5.253998e+00  5.185700e+00  2.915946e-02
            35  5.228335e+00  5.186918e+00  2.835176e-02
            36  5.052904e+00  5.183195e+00  2.780753e-02
            37  5.292155e+00  5.186140e+00  2.721146e-02
            38  5.234160e+00  5.187404e+00  2.652470e-02
            39  5.366250e+00  5.191989e+00  2.623799e-02
            40  4.608823e+00  5.177410e+00  2.935437e-02
            41  4.990183e+00  5.172844e+00  2.899143e-02
            42  5.056279e+00  5.170068e+00  2.843369e-02
            43  5.128036e+00  5.169091e+00  2.778924e-02
            44  5.111342e+00  5.167778e+00  2.718864e-02
            45  5.196687e+00  5.168421e+00  2.659204e-02
            46  4.860389e+00  5.161724e+00  2.684384e-02
            47  5.178065e+00  5.162072e+00  2.627495e-02
            48  5.161169e+00  5.162053e+00  2.572756e-02
            49  5.400815e+00  5.166926e+00  2.565980e-02
            50  5.088941e+00  5.165366e+00  2.519396e-02
            51  4.921895e+00  5.160592e+00  2.514820e-02
            52  5.099630e+00  5.159420e+00  2.469189e-02
            53  5.089469e+00  5.158100e+00  2.426125e-02
            54  5.180346e+00  5.158512e+00  2.381547e-02
            55  5.101435e+00  5.157474e+00  2.340506e-02
            56  5.164864e+00  5.157606e+00  2.298748e-02
            57  5.290270e+00  5.159934e+00  2.270171e-02
            58  5.031926e+00  5.157727e+00  2.241733e-02
            59  5.268552e+00  5.159605e+00  2.211593e-02
            60  5.538329e+00  5.165917e+00  2.263017e-02
            61  5.080339e+00  5.164514e+00  2.230263e-02
            62  4.918204e+00  5.160542e+00  2.229393e-02
            63  5.267793e+00  5.162244e+00  2.200496e-02
            64  5.126240e+00  5.161681e+00  2.166832e-02
            65  4.731495e+00  5.155063e+00  2.232281e-02
            66  5.262331e+00  5.156688e+00  2.204367e-02
            67  5.309725e+00  5.158973e+00  2.183268e-02
            68  5.084176e+00  5.157873e+00  2.153931e-02
            69  5.090350e+00  5.156894e+00  2.124936e-02
            70  5.351955e+00  5.159681e+00  2.112772e-02
            71  5.128846e+00  5.159246e+00  2.083461e-02
            72  5.268990e+00  5.160771e+00  2.060092e-02
            73  5.484850e+00  5.165210e+00  2.079156e-02
            74  4.877017e+00  5.161315e+00  2.087215e-02
            75  5.128729e+00  5.160881e+00  2.059837e-02
            76  5.205184e+00  5.161464e+00  2.033559e-02
            77  5.053536e+00  5.160062e+00  2.011974e-02
            78  4.969473e+00  5.157619e+00  2.000961e-02
            79  5.072567e+00  5.156542e+00  1.978527e-02
            80  5.040212e+00  5.155088e+00  1.959132e-02
            81  5.393227e+00  5.158028e+00  1.956880e-02
            82  4.819559e+00  5.153900e+00  1.976069e-02
            83  5.086754e+00  5.153091e+00  1.953916e-02
            84  5.426686e+00  5.156348e+00  1.957614e-02
            85  5.151078e+00  5.156286e+00  1.934593e-02
            86  5.399180e+00  5.159111e+00  1.932604e-02
            87  4.876691e+00  5.155865e+00  1.937462e-02
            88  5.135478e+00  5.155633e+00  1.915584e-02
            89  4.907590e+00  5.152846e+00  1.914227e-02
            90  4.854431e+00  5.149530e+00  1.921460e-02
            91  5.131825e+00  5.149336e+00  1.900443e-02
            92  5.422995e+00  5.152310e+00  1.902923e-02
            93  5.190131e+00  5.152717e+00  1.882896e-02
            94  5.618716e+00  5.157674e+00  1.927022e-02
            95  5.183240e+00  5.157943e+00  1.906925e-02
            96  5.120264e+00  5.157551e+00  1.887465e-02
            97  5.214686e+00  5.158140e+00  1.868926e-02
            98  4.901341e+00  5.155520e+00  1.868135e-02
            99  5.311191e+00  5.157092e+00  1.855871e-02
           100  5.119345e+00  5.156715e+00  1.837696e-02
