#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             1  5.817067e-02  5.817067e-02  0.000000e+00
             2  5.375733e-02  5.596400e-02  1.560349e-03
             3  7.225600e-02  6.139467e-02  4.554504e-03
             4  4.956533e-02  5.843733e-02  4.269378e-03
             5  4.402933e-02  5.555573e-02  4.278849e-03
             6  5.730933e-02  5.584800e-02  3.575676e-03
             7  4.793067e-02  5.471695e-02  3.238813e-03
             8  4.742933e-02  5.380600e-02  2.959298e-03
             9  4.867733e-02  5.323615e-02  2.684793e-03
            10  7.531200e-02  5.544373e-02  3.197602e-03
            11  5.233600e-02  5.516121e-02  2.919365e-03
            12  6.747467e-02  5.618733e-02  2.850721e-03
            13  4.919467e-02  5.564944e-02  2.681702e-03
            14  4.160000e-02  5.464590e-02  2.671329e-03
            15  5.535467e-02  5.469316e-02  2.493658e-03
            16  5.727733e-02  5.485467e-02  2.343029e-03
            17  5.841333e-02  5.506400e-02  2.214535e-03
            18  7.115467e-02  5.595793e-02  2.264753e-03
            19  6.267733e-02  5.631158e-02  2.172992e-03
            20  4.842400e-02  5.591720e-02  2.099826e-03
            21  5.677067e-02  5.595784e-02  2.000227e-03
            22  6.437067e-02  5.634024e-02  1.945518e-03
            23  5.415200e-02  5.624510e-02  1.863255e-03
            24  5.948800e-02  5.638022e-02  1.790512e-03
            25  6.795733e-02  5.684331e-02  1.777768e-03
            26  5.660533e-02  5.683415e-02  1.709416e-03
            27  3.997600e-02  5.620978e-02  1.756435e-03
            28  3.933600e-02  5.560714e-02  1.794112e-03
            29  4.288533e-02  5.516846e-02  1.785072e-03
            30  5.064533e-02  5.501769e-02  1.731925e-03
            31  7.214133e-02  5.557006e-02  1.761943e-03
            32  4.854133e-02  5.535042e-02  1.720518e-03
            33  6.154933e-02  5.553826e-02  1.678605e-03
            34  2.729867e-02  5.470769e-02  1.823176e-03
            35  4.451200e-02  5.441638e-02  1.794206e-03
            36  6.504800e-02  5.471170e-02  1.768505e-03
            37  4.363467e-02  5.441232e-02  1.745864e-03
            38  6.049067e-02  5.457228e-02  1.707232e-03
            39  6.076267e-02  5.473101e-02  1.670819e-03
            40  5.102133e-02  5.463827e-02  1.631621e-03
            41  3.028800e-02  5.404436e-02  1.696476e-03
            42  6.224267e-02  5.423956e-02  1.667276e-03
            43  6.977333e-02  5.460081e-02  1.667179e-03
            44  4.299200e-02  5.433697e-02  1.650033e-03
            45  5.484800e-02  5.434833e-02  1.613405e-03
            46  3.930400e-02  5.402128e-02  1.611138e-03
            47  5.224800e-02  5.398355e-02  1.577300e-03
            48  6.240533e-02  5.415900e-02  1.554167e-03
            49  3.197333e-02  5.370623e-02  1.587031e-03
            50  4.110400e-02  5.345419e-02  1.575178e-03
            51  6.823200e-02  5.374395e-02  1.570717e-03
            52  4.951733e-02  5.366267e-02  1.542613e-03
            53  7.123733e-02  5.399426e-02  1.548737e-03
            54  5.158933e-02  5.394973e-02  1.520697e-03
            55  5.608800e-02  5.398861e-02  1.493545e-03
            56  4.235467e-02  5.378086e-02  1.481252e-03
            57  6.033067e-02  5.389577e-02  1.459716e-03
            58  6.430133e-02  5.407517e-02  1.445531e-03
            59  6.303200e-02  5.422698e-02  1.428980e-03
            60  7.460000e-02  5.456653e-02  1.444942e-03
            61  6.104000e-02  5.467266e-02  1.425146e-03
            62  5.787733e-02  5.472434e-02  1.403097e-03
            63  7.342667e-02  5.502121e-02  1.411881e-03
            64  7.015733e-02  5.525771e-02  1.409489e-03
            65  6.638133e-02  5.542884e-02  1.398155e-03
            66  5.142667e-02  5.536820e-02  1.378285e-03
            67  4.707467e-02  5.524442e-02  1.363261e-03
            68  5.816800e-02  5.528741e-02  1.343891e-03
            69  4.220267e-02  5.509778e-02  1.337727e-03
            70  6.118400e-02  5.518472e-02  1.321439e-03
            71  5.376267e-02  5.516469e-02  1.302979e-03
            72  4.908000e-02  5.508019e-02  1.287620e-03
            73  4.766933e-02  5.497867e-02  1.273977e-03
            74  4.099200e-02  5.478966e-02  1.270704e-03
            75  5.099200e-02  5.473902e-02  1.254770e-03
            76  4.761067e-02  5.464523e-02  1.241761e-03
            77  5.211733e-02  5.461240e-02  1.226068e-03
            78  4.892800e-02  5.453952e-02  1.212513e-03
            79  5.758133e-02  5.457803e-02  1.197776e-03
            80  4.836000e-02  5.450030e-02  1.185323e-03
            81  5.076800e-02  5.445422e-02  1.171584e-03
            82  5.505333e-02  5.446153e-02  1.157320e-03
            83  6.019733e-02  5.453063e-02  1.145437e-03
            84  4.932267e-02  5.446863e-02  1.133478e-03
            85  5.560800e-02  5.448204e-02  1.120222e-03
            86  5.220800e-02  5.445560e-02  1.107508e-03
            87  5.500000e-02  5.446185e-02  1.094796e-03
            88  4.869333e-02  5.439630e-02  1.084316e-03
            89  4.588267e-02  5.430064e-02  1.076344e-03
            90  6.478667e-02  5.441716e-02  1.070672e-03
            91  4.876800e-02  5.435508e-02  1.060704e-03
            92  4.805600e-02  5.428661e-02  1.051382e-03
            93  3.852800e-02  5.411716e-02  1.053643e-03
            94  4.825867e-02  5.405484e-02  1.044276e-03
            95  4.897333e-02  5.400135e-02  1.034653e-03
            96  5.117867e-02  5.397194e-02  1.024293e-03
            97  4.944267e-02  5.392525e-02  1.014797e-03
            98  5.921333e-02  5.397921e-02  1.005875e-03
            99  4.073867e-02  5.384547e-02  1.004567e-03
           100  5.866933e-02  5.389371e-02  9.956788e-04
